Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	2	10	2	2	135	135	4	753	0	0	0.004003	L*	addAllPrefixesToS	0	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	108	108	4	522	0	0	0.012008	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	108	108	4	522	0	0	0.013009	L*	addSuffix1by1ToE	2	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	111	111	4	530	0	0	0.012008	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	114	114	4	544	0	0	0.012508	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	213	213	3	1267	0	0	0.015009	OP	AllGlobally	5	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	160	160	4	886	0	0	0.037524	OP	OneGlobally	6	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	132	132	7	711	0	0	0.032022	OP	OneLocally	7	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	189	189	10	740	0	0	0.022515	DT		8	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	98	98	9	431	0	0	0.069046	TTT		9	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	65	65	4	326	0	0	0.029520	Quotient		10	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	73	73	1	375	0	0	4.516442	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	50	127	1	324	0	0	0.024517	OTree	ExtraStates:1+EQ	12	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	135	135	4	753	0	0	0.059539	L*	addAllPrefixesToS	0	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	108	108	4	522	0	0	0.051038	L*	addAllSuffixesAfterLastStateToE	1	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	108	108	4	522	0	0	0.042029	L*	addSuffix1by1ToE	2	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	111	111	4	530	0	0	0.052033	L*	addSuffixAfterLastStateToE	3	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	114	114	4	544	0	0	0.041032	L*	addSuffixToE_binarySearch	4	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	215	215	3	1268	0	0	0.051535	OP	AllGlobally	5	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	160	160	4	886	0	0	0.038533	OP	OneGlobally	6	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	132	132	7	711	0	0	0.036023	OP	OneLocally	7	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	189	189	10	740	0	0	0.022515	DT		8	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	98	98	9	431	0	0	0.035524	TTT		9	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	65	140	4	326	0	0	0.030020	Quotient		10	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	84	84	1	448	0	0	0.043039	GoodSplit	maxDistLen:2+EQ	11	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	50	127	1	324	0	0	0.028519	OTree	ExtraStates:1+EQ	12	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	135	135	4	783	0	0	0.082554	L*	addAllPrefixesToS	0	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	108	108	4	552	0	0	0.062539	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	108	108	4	552	0	0	0.076551	L*	addSuffix1by1ToE	2	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	111	111	4	560	0	0	0.086557	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	114	114	4	578	0	0	0.083555	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	189	189	3	1228	0	0	0.063543	OP	AllGlobally	5	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	157	157	4	911	0	0	0.052534	OP	OneGlobally	6	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	129	129	6	659	0	0	0.042528	OP	OneLocally	7	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	203	203	10	848	0	0	0.021513	DT		8	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	96	96	7	454	0	0	0.068046	TTT		9	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	63	63	4	337	0	0	0.030519	Quotient		10	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	70	70	3	372	0	0	0.150599	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	47	137	1	331	0	0	0.040027	OTree	ExtraStates:1+EQ	12	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	135	135	4	783	0	0	0.068545	L*	addAllPrefixesToS	0	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	108	108	4	552	0	0	0.046031	L*	addAllSuffixesAfterLastStateToE	1	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	108	108	4	552	0	0	0.066544	L*	addSuffix1by1ToE	2	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	111	111	4	560	0	0	0.056537	L*	addSuffixAfterLastStateToE	3	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	114	114	4	578	0	0	0.048531	L*	addSuffixToE_binarySearch	4	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	319	319	4	2318	0	0	0.073549	OP	AllGlobally	5	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	157	157	4	911	0	0	0.046030	OP	OneGlobally	6	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	129	129	6	659	0	0	0.039026	OP	OneLocally	7	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	203	203	10	848	0	0	0.020514	DT		8	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	96	96	7	454	0	0	0.040527	TTT		9	TeacherRL		Mealy_R10_0VFLT.fsm
1	2	10	2	2	63	138	4	337	0	0	0.034023	Quotient		10	TeacherRL		Mealy_R10_0VFLT.fsm
