FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
4	10	2	2	18	54	0.000501	ShortestSeparatingSequences	0	DFA_R10.fsm
4	10	2	2	20	64	0.000500	SeparatingSequencesFromSplittingTree	1	DFA_R10.fsm
4	10	2	2	12	70	0.000000	SplittingTreeBased	2	DFA_R10.fsm
4	10	2	2	18	52	0.000000	ShortestSeparatingSequences	0	DFA_R10_07AQb.fsm
4	10	2	2	18	52	0.000500	SeparatingSequencesFromSplittingTree	1	DFA_R10_07AQb.fsm
4	10	2	2	12	70	0.000000	SplittingTreeBased	2	DFA_R10_07AQb.fsm
4	10	2	2	18	58	0.000000	ShortestSeparatingSequences	0	DFA_R10_1G5ix.fsm
4	10	2	2	16	72	0.000500	SeparatingSequencesFromSplittingTree	1	DFA_R10_1G5ix.fsm
4	10	2	2	10	70	0.000000	SplittingTreeBased	2	DFA_R10_1G5ix.fsm
4	10	2	2	20	58	0.000000	ShortestSeparatingSequences	0	DFA_R10_1vV4O.fsm
4	10	2	2	18	54	0.000501	SeparatingSequencesFromSplittingTree	1	DFA_R10_1vV4O.fsm
4	10	2	2	13	60	0.000000	SplittingTreeBased	2	DFA_R10_1vV4O.fsm
4	10	2	2	19	52	0.000000	ShortestSeparatingSequences	0	DFA_R10_1WDQu.fsm
4	10	2	2	20	58	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R10_1WDQu.fsm
4	10	2	2	12	70	0.000500	SplittingTreeBased	2	DFA_R10_1WDQu.fsm
4	10	2	2	19	54	0.000000	ShortestSeparatingSequences	0	DFA_R10_2EQ4I.fsm
4	10	2	2	19	54	0.000500	SeparatingSequencesFromSplittingTree	1	DFA_R10_2EQ4I.fsm
4	10	2	2	12	62	0.000000	SplittingTreeBased	2	DFA_R10_2EQ4I.fsm
4	10	2	2	19	50	0.000000	ShortestSeparatingSequences	0	DFA_R10_3yYdE.fsm
4	10	2	2	20	52	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R10_3yYdE.fsm
4	10	2	2	10	58	0.000500	SplittingTreeBased	2	DFA_R10_3yYdE.fsm
4	10	2	2	20	54	0.000501	ShortestSeparatingSequences	0	DFA_R10_4GEP3.fsm
4	10	2	2	22	58	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R10_4GEP3.fsm
4	10	2	2	10	62	0.000500	SplittingTreeBased	2	DFA_R10_4GEP3.fsm
4	10	2	2	20	68	0.000000	ShortestSeparatingSequences	0	DFA_R10_4z0xm.fsm
4	10	2	2	19	64	0.000500	SeparatingSequencesFromSplittingTree	1	DFA_R10_4z0xm.fsm
4	10	2	2	10	70	0.000000	SplittingTreeBased	2	DFA_R10_4z0xm.fsm
4	10	2	2	19	50	0.000000	ShortestSeparatingSequences	0	DFA_R10_51h41.fsm
4	10	2	2	18	50	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R10_51h41.fsm
4	10	2	2	10	60	0.000500	SplittingTreeBased	2	DFA_R10_51h41.fsm
4	10	2	2	19	62	0.000501	ShortestSeparatingSequences	0	DFA_R10_5oOli.fsm
4	10	2	2	15	56	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R10_5oOli.fsm
4	10	2	2	10	70	0.000000	SplittingTreeBased	2	DFA_R10_5oOli.fsm
4	10	2	2	24	99	0.000000	ShortestSeparatingSequences	0	DFA_R10_5W5mk.fsm
4	10	2	2	21	97	0.000501	SeparatingSequencesFromSplittingTree	1	DFA_R10_5W5mk.fsm
4	10	2	2	17	106	0.000501	SplittingTreeBased	2	DFA_R10_5W5mk.fsm
4	10	2	2	22	62	0.000500	ShortestSeparatingSequences	0	DFA_R10_6C0lC.fsm
4	10	2	2	21	62	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R10_6C0lC.fsm
4	10	2	2	12	66	0.000000	SplittingTreeBased	2	DFA_R10_6C0lC.fsm
4	10	2	2	19	56	0.000000	ShortestSeparatingSequences	0	DFA_R10_6nfBp.fsm
4	10	2	2	18	56	0.000501	SeparatingSequencesFromSplittingTree	1	DFA_R10_6nfBp.fsm
4	10	2	2	10	62	0.000000	SplittingTreeBased	2	DFA_R10_6nfBp.fsm
4	10	2	2	21	102	0.000000	ShortestSeparatingSequences	0	DFA_R10_6Xhtz.fsm
4	10	2	2	21	102	0.000501	SeparatingSequencesFromSplittingTree	1	DFA_R10_6Xhtz.fsm
4	10	2	2	15	110	0.000499	SplittingTreeBased	2	DFA_R10_6Xhtz.fsm
4	10	2	2	18	52	0.000000	ShortestSeparatingSequences	0	DFA_R10_83QQf.fsm
4	10	2	2	20	56	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R10_83QQf.fsm
4	10	2	2	10	58	0.000000	SplittingTreeBased	2	DFA_R10_83QQf.fsm
4	10	2	2	24	112	0.000000	ShortestSeparatingSequences	0	DFA_R10_89PH6.fsm
4	10	2	2	23	116	0.000500	SeparatingSequencesFromSplittingTree	1	DFA_R10_89PH6.fsm
4	10	2	2	18	126	0.000501	SplittingTreeBased	2	DFA_R10_89PH6.fsm
4	10	2	2	19	50	0.000000	ShortestSeparatingSequences	0	DFA_R10_8q2Qa.fsm
4	10	2	2	18	50	0.000499	SeparatingSequencesFromSplittingTree	1	DFA_R10_8q2Qa.fsm
4	10	2	2	10	60	0.000000	SplittingTreeBased	2	DFA_R10_8q2Qa.fsm
4	10	2	2	21	84	0.000000	ShortestSeparatingSequences	0	DFA_R10_8SH0R.fsm
4	10	2	2	20	76	0.000500	SeparatingSequencesFromSplittingTree	1	DFA_R10_8SH0R.fsm
4	10	2	2	17	80	0.000500	SplittingTreeBased	2	DFA_R10_8SH0R.fsm
4	10	2	2	20	52	0.000500	ShortestSeparatingSequences	0	DFA_R10_8y834.fsm
