Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	4	10	2	2	0	0	0	0.000000	TS	PDS-method	0	DFA_R10.fsm
0	4	10	2	2	0	0	0	0.000000	TS	ADS-method	1	DFA_R10.fsm
0	4	10	2	2	0	30	384	0.000000	TS	SVS-method	2	DFA_R10.fsm
0	4	10	2	2	0	33	378	0.000000	TS	W-method	3	DFA_R10.fsm
0	4	10	2	2	0	20	206	0.000000	TS	Wp-method	4	DFA_R10.fsm
0	4	10	2	2	0	20	204	0.001001	TS	HSI-method	5	DFA_R10.fsm
0	4	10	2	2	0	17	205	0.000000	TS	H-method	6	DFA_R10.fsm
0	4	10	2	2	0	16	204	0.000000	TS	SPY-method	7	DFA_R10.fsm
0	4	10	2	2	0	15	185	0.000997	TS	SPYH-method	8	DFA_R10.fsm
0	4	10	2	2	0	12	186	0.001001	TS	S-method	9	DFA_R10.fsm
0	4	10	2	2	0	0	0	0.000000	TS	Mra-method	10	DFA_R10.fsm
0	4	10	2	2	0	0	0	0.000000	TS	Mrg-method	11	DFA_R10.fsm
0	4	10	2	2	1	0	0	0.000000	TS	PDS-method	0	DFA_R10.fsm
0	4	10	2	2	1	0	0	0.000000	TS	ADS-method	1	DFA_R10.fsm
0	4	10	2	2	1	60	894	0.001001	TS	SVS-method	2	DFA_R10.fsm
0	4	10	2	2	1	66	888	0.000000	TS	W-method	3	DFA_R10.fsm
0	4	10	2	2	1	40	492	0.000000	TS	Wp-method	4	DFA_R10.fsm
0	4	10	2	2	1	41	508	0.000000	TS	HSI-method	5	DFA_R10.fsm
0	4	10	2	2	1	32	446	0.001001	TS	H-method	6	DFA_R10.fsm
0	4	10	2	2	1	24	406	0.000000	TS	SPY-method	7	DFA_R10.fsm
0	4	10	2	2	1	33	485	0.000000	TS	SPYH-method	8	DFA_R10.fsm
0	4	10	2	2	1	15	369	0.002000	TS	S-method	9	DFA_R10.fsm
0	4	10	2	2	1	0	0	0.000000	TS	Mra-method	10	DFA_R10.fsm
0	4	10	2	2	1	0	0	0.000000	TS	Mrg-method	11	DFA_R10.fsm
0	4	10	2	2	2	0	0	0.000000	TS	PDS-method	0	DFA_R10.fsm
0	4	10	2	2	2	0	0	0.000000	TS	ADS-method	1	DFA_R10.fsm
0	4	10	2	2	2	119	2005	0.002003	TS	SVS-method	2	DFA_R10.fsm
0	4	10	2	2	2	132	2040	0.001001	TS	W-method	3	DFA_R10.fsm
0	4	10	2	2	2	79	1144	0.001001	TS	Wp-method	4	DFA_R10.fsm
0	4	10	2	2	2	81	1170	0.000500	TS	HSI-method	5	DFA_R10.fsm
0	4	10	2	2	2	59	975	0.000501	TS	H-method	6	DFA_R10.fsm
0	4	10	2	2	2	44	886	0.001000	TS	SPY-method	7	DFA_R10.fsm
0	4	10	2	2	2	53	1017	0.001001	TS	SPYH-method	8	DFA_R10.fsm
0	4	10	2	2	2	26	826	0.003001	TS	S-method	9	DFA_R10.fsm
0	4	10	2	2	2	0	0	0.000501	TS	Mra-method	10	DFA_R10.fsm
0	4	10	2	2	2	0	0	0.000000	TS	Mrg-method	11	DFA_R10.fsm
0	4	10	2	2	0	0	0	0.000000	TS	PDS-method	0	DFA_R10_07AQb.fsm
0	4	10	2	2	0	0	0	0.000000	TS	ADS-method	1	DFA_R10_07AQb.fsm
0	4	10	2	2	0	20	262	0.000000	TS	SVS-method	2	DFA_R10_07AQb.fsm
0	4	10	2	2	0	22	246	0.000000	TS	W-method	3	DFA_R10_07AQb.fsm
0	4	10	2	2	0	21	228	0.000000	TS	Wp-method	4	DFA_R10_07AQb.fsm
0	4	10	2	2	0	20	216	0.000000	TS	HSI-method	5	DFA_R10_07AQb.fsm
0	4	10	2	2	0	17	203	0.001001	TS	H-method	6	DFA_R10_07AQb.fsm
0	4	10	2	2	0	20	242	0.000000	TS	SPY-method	7	DFA_R10_07AQb.fsm
0	4	10	2	2	0	12	164	0.000000	TS	SPYH-method	8	DFA_R10_07AQb.fsm
0	4	10	2	2	0	9	163	0.001001	TS	S-method	9	DFA_R10_07AQb.fsm
0	4	10	2	2	0	0	0	0.000000	TS	Mra-method	10	DFA_R10_07AQb.fsm
0	4	10	2	2	0	0	0	0.000000	TS	Mrg-method	11	DFA_R10_07AQb.fsm
0	4	10	2	2	1	0	0	0.000000	TS	PDS-method	0	DFA_R10_07AQb.fsm
0	4	10	2	2	1	0	0	0.000000	TS	ADS-method	1	DFA_R10_07AQb.fsm
0	4	10	2	2	1	41	631	0.001001	TS	SVS-method	2	DFA_R10_07AQb.fsm
0	4	10	2	2	1	44	580	0.000000	TS	W-method	3	DFA_R10_07AQb.fsm
0	4	10	2	2	1	42	544	0.001001	TS	Wp-method	4	DFA_R10_07AQb.fsm
0	4	10	2	2	1	39	506	0.000000	TS	HSI-method	5	DFA_R10_07AQb.fsm
