FSMtype	States	Inputs	Outputs	Reduced	StronglyConnected	AccessSmax	AccessSmean	AccessSmedian	AccessSvariance	SepSmax	SepSmean	SepSmedian	SepSvariance	noSVS	SVSmax	SVSmean	SVSmedian	SVSvariance	ADSmax	ADSmean	ADSmedian	ADSvariance
4	10	2	2	1	1	4	2.100000	2.500000	1.290000	2	1.111111	1.000000	0.098765	1	5	3.333333	5.000000	0.888889	-1	-1	-1	-1	DFA_R10.fsm
4	100	2	2	1	1	13	5.920000	5.000000	6.213600	3	1.140404	1.000000	0.139277	8	7	5.500000	5.000000	0.358696	-1	-1	-1	-1	DFA_R100.fsm
4	100	2	2	1	1	10	5.540000	4.500000	3.788400	3	1.133737	2.000000	0.133629	12	7	5.420455	5.500000	0.357309	-1	-1	-1	-1	DFA_R100_0N9k1.fsm
4	100	2	2	1	1	11	5.970000	6.500000	4.749100	4	1.141818	2.000000	0.140696	14	8	5.500000	5.000000	0.459302	-1	-1	-1	-1	DFA_R100_0oyom.fsm
4	100	2	2	1	1	10	5.630000	3.500000	4.233100	3	1.134747	2.000000	0.128308	16	7	5.440476	6.000000	0.508362	-1	-1	-1	-1	DFA_R100_1Edyk.fsm
4	100	2	2	1	1	10	5.470000	8.500000	3.829100	4	1.157980	2.000000	0.163729	6	7	5.521277	5.000000	0.504866	-1	-1	-1	-1	DFA_R100_1GmRJ.fsm
4	100	2	2	1	1	11	5.860000	8.500000	4.800400	4	1.142020	2.500000	0.140840	12	7	5.534091	5.000000	0.430656	-1	-1	-1	-1	DFA_R100_2shX8.fsm
4	100	2	2	1	1	11	5.770000	10.500000	4.537100	4	1.129091	1.000000	0.129396	12	7	5.522727	5.000000	0.363120	-1	-1	-1	-1	DFA_R100_390XI.fsm
4	100	2	2	1	1	11	5.850000	8.500000	4.647500	3	1.139394	1.000000	0.135317	12	7	5.511364	5.000000	0.408962	-1	-1	-1	-1	DFA_R100_4kc88.fsm
4	100	2	2	1	1	10	5.630000	6.500000	3.913100	3	1.134545	1.000000	0.130988	17	7	5.397590	6.000000	0.408187	-1	-1	-1	-1	DFA_R100_4RdGB.fsm
4	100	2	2	1	1	9	5.470000	5.500000	3.389100	4	1.131111	1.000000	0.130891	9	6	5.494505	5.000000	0.293926	-1	-1	-1	-1	DFA_R100_5c5Vh.fsm
4	100	2	2	1	1	10	5.600000	7.500000	4.160000	3	1.128081	1.000000	0.129050	10	6	5.333333	5.500000	0.266667	-1	-1	-1	-1	DFA_R100_6fEq8.fsm
4	100	2	2	1	1	10	5.680000	6.500000	4.277600	3	1.132929	2.000000	0.132633	15	7	5.529412	5.000000	0.460900	-1	-1	-1	-1	DFA_R100_6m8IC.fsm
4	100	2	2	1	1	8	5.200000	7.000000	2.820000	3	1.124040	1.000000	0.122392	5	7	5.578947	6.000000	0.349030	-1	-1	-1	-1	DFA_R100_6z4ey.fsm
4	100	2	2	1	1	12	6.870000	8.000000	5.073100	4	1.133333	1.000000	0.131717	14	6	5.395349	5.500000	0.355327	-1	-1	-1	-1	DFA_R100_8naAT.fsm
4	100	2	2	1	1	8	5.180000	4.500000	2.827600	3	1.129697	1.000000	0.129441	9	7	5.538462	5.000000	0.336433	-1	-1	-1	-1	DFA_R100_8OvVm.fsm
4	100	2	2	1	1	11	6.190000	6.500000	5.913900	3	1.144040	2.000000	0.145515	15	7	5.411765	5.000000	0.359862	-1	-1	-1	-1	DFA_R100_8vvTP.fsm
4	100	2	2	1	1	9	5.360000	4.500000	3.270400	3	1.130707	1.000000	0.127764	1	7	5.525253	5.000000	0.350372	-1	-1	-1	-1	DFA_R100_A8Fgs.fsm
4	100	2	2	1	1	9	5.520000	4.500000	3.829600	4	1.131515	1.000000	0.129976	9	7	5.461538	5.000000	0.314455	-1	-1	-1	-1	DFA_R100_A9VUF.fsm
4	100	2	2	1	1	11	6.240000	8.500000	6.002400	3	1.132929	1.000000	0.131421	18	7	5.475610	6.000000	0.371356	-1	-1	-1	-1	DFA_R100_AF1ZZ.fsm
4	100	2	2	1	1	10	5.590000	5.500000	4.001900	4	1.148081	2.000000	0.147567	15	7	5.376471	5.000000	0.540623	-1	-1	-1	-1	DFA_R100_AfG60.fsm
4	100	2	2	1	1	11	5.480000	6.500000	3.889600	3	1.127677	1.000000	0.123093	10	7	5.411111	6.000000	0.330988	-1	-1	-1	-1	DFA_R100_AK1h5.fsm
4	100	2	2	1	1	9	5.520000	6.500000	3.549600	3	1.128081	1.000000	0.126626	11	7	5.494382	6.000000	0.384800	-1	-1	-1	-1	DFA_R100_aKeic.fsm
4	100	2	2	1	1	9	5.610000	8.500000	3.557900	3	1.142828	2.000000	0.136974	18	7	5.365854	4.000000	0.427127	-1	-1	-1	-1	DFA_R100_B2oge.fsm
4	100	2	2	1	1	9	5.810000	6.500000	3.933900	3	1.129293	1.000000	0.129546	12	7	5.340909	5.500000	0.338326	-1	-1	-1	-1	DFA_R100_BIfEw.fsm
4	100	2	2	1	1	10	5.860000	4.500000	4.700400	4	1.138788	1.000000	0.134879	14	7	5.383721	5.000000	0.306247	-1	-1	-1	-1	DFA_R100_bMbYf.fsm
4	100	2	2	1	1	10	5.440000	4.500000	3.886400	3	1.143636	2.000000	0.142803	20	7	5.450000	4.500000	0.472500	-1	-1	-1	-1	DFA_R100_BqzK4.fsm
