Correct;#Resets;#OQs;#EQs;#symbols;fileName;Algorithm;CEprocessing;Teacher;BB;
1;23235;23235;12;306248;../data/experiments/DFA_R97_sched4.fsm;L*;addAllPrefixesToS;TeacherDFSM;;
1;18654;18654;15;232284;../data/experiments/DFA_R97_sched4.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherDFSM;;
1;18640;18640;16;232183;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffix1by1ToE;TeacherDFSM;;
1;18670;18670;16;232389;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffixAfterLastStateToE;TeacherDFSM;;
1;18699;18699;16;232651;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffixToE_binarySearch;TeacherDFSM;;
1;11805;11805;96;121988;../data/experiments/DFA_R97_sched4.fsm;DT;;TeacherDFSM;;
1;63670;63670;4;1104127;../data/experiments/DFA_R97_sched4.fsm;OP;AllGlobally;TeacherDFSM;;
1;21736;21736;4;275119;../data/experiments/DFA_R97_sched4.fsm;OP;OneGlobally;TeacherDFSM;;
1;18322;18322;18;226554;../data/experiments/DFA_R97_sched4.fsm;OP;OneLocally;TeacherDFSM;;
1;3606;3606;94;45018;../data/experiments/DFA_R97_sched4.fsm;TTT;;TeacherDFSM;;
1;16740;16741;4;223978;../data/experiments/DFA_R97_sched4.fsm;Quotient;;TeacherDFSM;;
1;23235;23235;12;306248;../data/experiments/DFA_R97_sched4.fsm;L*;addAllPrefixesToS;TeacherRL;;
1;18654;18654;15;232284;../data/experiments/DFA_R97_sched4.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherRL;;
1;18640;18640;16;232183;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffix1by1ToE;TeacherRL;;
1;18670;18670;16;232389;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffixAfterLastStateToE;TeacherRL;;
1;18699;18699;16;232651;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffixToE_binarySearch;TeacherRL;;
1;11805;11805;96;121988;../data/experiments/DFA_R97_sched4.fsm;DT;;TeacherRL;;
1;63670;63670;4;1104127;../data/experiments/DFA_R97_sched4.fsm;OP;AllGlobally;TeacherRL;;
1;21736;21736;4;275119;../data/experiments/DFA_R97_sched4.fsm;OP;OneGlobally;TeacherRL;;
1;18322;18322;18;226554;../data/experiments/DFA_R97_sched4.fsm;OP;OneLocally;TeacherRL;;
1;3606;3606;94;45018;../data/experiments/DFA_R97_sched4.fsm;TTT;;TeacherRL;;
1;16740;51109;4;223978;../data/experiments/DFA_R97_sched4.fsm;Quotient;;TeacherRL;;
1;182367;22155;11;378173;../data/experiments/DFA_R97_sched4.fsm;L*;addAllPrefixesToS;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;186418;20985;16;357692;../data/experiments/DFA_R97_sched4.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;186646;20970;16;372640;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffix1by1ToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;192327;21004;18;361742;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffixAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;192361;21038;18;361742;../data/experiments/DFA_R97_sched4.fsm;L*;addSuffixToE_binarySearch;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;562049;11667;96;356088;../data/experiments/DFA_R97_sched4.fsm;DT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;276871;116094;4;698416;../data/experiments/DFA_R97_sched4.fsm;OP;AllGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;182512;21735;4;355596;../data/experiments/DFA_R97_sched4.fsm;OP;OneGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;284397;18322;18;355580;../data/experiments/DFA_R97_sched4.fsm;OP;OneLocally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;579645;3640;92;358356;../data/experiments/DFA_R97_sched4.fsm;TTT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;188241;16705;4;355563;../data/experiments/DFA_R97_sched4.fsm;Quotient;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
