Correct;#Resets;#OQs;#EQs;#symbols;fileName;Algorithm;CEprocessing;Teacher;BB;
1;2975;2975;4;17886;../data/tests/sequences/Mealy_R100.fsm;L*;addAllPrefixesToS;TeacherDFSM;;
1;2810;2810;4;16572;../data/tests/sequences/Mealy_R100.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherDFSM;;
1;2807;2807;4;16554;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffix1by1ToE;TeacherDFSM;;
1;2813;2813;4;16588;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffixAfterLastStateToE;TeacherDFSM;;
1;2817;2817;4;16613;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffixToE_binarySearch;TeacherDFSM;;
1;2591;2591;58;12652;../data/tests/sequences/Mealy_R100.fsm;DT;;TeacherDFSM;;
1;4437;4437;2;28804;../data/tests/sequences/Mealy_R100.fsm;OP;AllGlobally;TeacherDFSM;;
1;4041;4041;4;23734;../data/tests/sequences/Mealy_R100.fsm;OP;OneGlobally;TeacherDFSM;;
1;2927;2927;11;16419;../data/tests/sequences/Mealy_R100.fsm;OP;OneLocally;TeacherDFSM;;
1;1909;1909;58;10584;../data/tests/sequences/Mealy_R100.fsm;TTT;;TeacherDFSM;;
1;2469;2469;4;14679;../data/tests/sequences/Mealy_R100.fsm;Quotient;;TeacherDFSM;;
1;5712;5712;0;39062;../data/tests/sequences/Mealy_R100.fsm;GoodSplit;maxDistLen:2;TeacherDFSM;;
1;3247;6180;0;25356;../data/tests/sequences/Mealy_R100.fsm;OTree;ExtraStates:1;TeacherDFSM;;
1;2975;2975;4;17886;../data/tests/sequences/Mealy_R100.fsm;L*;addAllPrefixesToS;TeacherRL;;
1;2810;2810;4;16572;../data/tests/sequences/Mealy_R100.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherRL;;
1;2807;2807;4;16554;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffix1by1ToE;TeacherRL;;
1;2813;2813;4;16588;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffixAfterLastStateToE;TeacherRL;;
1;2817;2817;4;16613;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffixToE_binarySearch;TeacherRL;;
1;2591;2591;58;12652;../data/tests/sequences/Mealy_R100.fsm;DT;;TeacherRL;;
1;4437;4437;2;28804;../data/tests/sequences/Mealy_R100.fsm;OP;AllGlobally;TeacherRL;;
1;4041;4041;4;23734;../data/tests/sequences/Mealy_R100.fsm;OP;OneGlobally;TeacherRL;;
1;2927;2927;11;16419;../data/tests/sequences/Mealy_R100.fsm;OP;OneLocally;TeacherRL;;
1;1909;1909;58;10584;../data/tests/sequences/Mealy_R100.fsm;TTT;;TeacherRL;;
1;2469;4976;4;14679;../data/tests/sequences/Mealy_R100.fsm;Quotient;;TeacherRL;;
1;5854;5854;0;40378;../data/tests/sequences/Mealy_R100.fsm;GoodSplit;maxDistLen:2;TeacherRL;;
1;3247;6180;0;25356;../data/tests/sequences/Mealy_R100.fsm;OTree;ExtraStates:1;TeacherRL;;
1;13739;3115;4;33699;../data/tests/sequences/Mealy_R100.fsm;L*;addAllPrefixesToS;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;12642;2408;3;33375;../data/tests/sequences/Mealy_R100.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;12640;2406;3;33357;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffix1by1ToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;12644;2410;3;33375;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffixAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;12646;2412;3;33375;../data/tests/sequences/Mealy_R100.fsm;L*;addSuffixToE_binarySearch;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;17223;2380;46;33556;../data/tests/sequences/Mealy_R100.fsm;DT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;14847;4838;2;36020;../data/tests/sequences/Mealy_R100.fsm;OP;AllGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;13872;3638;3;33925;../data/tests/sequences/Mealy_R100.fsm;OP;OneGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;15472;2927;11;33287;../data/tests/sequences/Mealy_R100.fsm;OP;OneLocally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;19425;2121;45;33641;../data/tests/sequences/Mealy_R100.fsm;TTT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;12402;2168;3;33375;../data/tests/sequences/Mealy_R100.fsm;Quotient;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;5773;5773;0;5964;../data/tests/sequences/Mealy_R100.fsm;GoodSplit;maxDistLen:2;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;3247;6180;0;6180;../data/tests/sequences/Mealy_R100.fsm;OTree;ExtraStates:1;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
