Correct;#Resets;#OQs;#EQs;#symbols;fileName;Algorithm;CEprocessing;Teacher;BB;
1;456;912;5;2598;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllPrefixesToS;TeacherDFSM;;
1;342;677;8;1363;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherDFSM;;
1;328;656;8;1324;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherDFSM;;
1;328;656;8;1324;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffix1by1ToE;TeacherDFSM;;
1;339;678;8;1356;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixToE_binarySearch;TeacherDFSM;;
1;260;521;9;1063;../data/tests/sequences/Moore_R10_PDS.fsm;DT;;TeacherDFSM;;
1;621;1237;3;3009;../data/tests/sequences/Moore_R10_PDS.fsm;OP;AllGlobally;TeacherDFSM;;
1;504;999;5;2342;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneGlobally;TeacherDFSM;;
1;379;749;5;1586;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneLocally;TeacherDFSM;;
1;585;1170;6;3360;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllPrefixesToS;TeacherRL;;
1;385;762;9;1513;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherRL;;
1;369;738;9;1469;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherRL;;
1;369;738;9;1469;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffix1by1ToE;TeacherRL;;
1;382;764;9;1506;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixToE_binarySearch;TeacherRL;;
1;260;521;9;1063;../data/tests/sequences/Moore_R10_PDS.fsm;DT;;TeacherRL;;
1;905;1805;5;5016;../data/tests/sequences/Moore_R10_PDS.fsm;OP;AllGlobally;TeacherRL;;
1;504;999;5;2342;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneGlobally;TeacherRL;;
1;379;749;5;1586;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneLocally;TeacherRL;;
1;1515;1040;6;7288;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllPrefixesToS;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1418;592;7;7940;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1529;820;7;7940;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1529;820;7;7940;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffix1by1ToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1422;606;7;7940;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixToE_binarySearch;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1343;517;9;7726;../data/tests/sequences/Moore_R10_PDS.fsm;DT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1838;1655;3;8395;../data/tests/sequences/Moore_R10_PDS.fsm;OP;AllGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1596;1015;5;8336;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1472;767;5;8181;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneLocally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
