Correct,FSMtype,States,Inputs,Outputs,Resets,OQs,EQs,symbols,BBresets,BBsymbols,seconds,Algorithm,CEprocessing,AlgId,Teacher,BB,fileName
1,4,4,2,2,27,27,2,78,0,0,0,L*,addAllPrefixesToS,0,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,29,29,3,85,0,0,0,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,29,29,3,85,0,0,0,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,31,31,3,88,0,0,0,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,33,33,3,95,0,0,0,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,40,40,1,114,0,0,0,OP,AllGlobally,5,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,40,40,1,114,0,0,0,OP,OneGlobally,6,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,39,39,1,113,0,0,0,OP,OneLocally,7,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,29,29,3,74,0,0,0,DT,,8,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,23,23,3,62,0,0,0,TTT,,9,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,19,19,1,58,0,0,0,Quotient,,10,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,36,36,1,140,0,0,0,GoodSplit,maxDistLen:2+EQ,11,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,11,14,3,33,0,0,0.0005,OTree,ExtraStates:0+EQ,12,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,23,29,1,84,0,0,0,OTree,ExtraStates:1+EQ,13,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,43,59,1,200,0,0,0.0005,OTree,ExtraStates:2+EQ,14,TeacherDFSM,,DFA_R4_ADS.fsm
0,4,4,2,2,4,5,0,6,0,0,0.0005,SPYlearner,ExtraStates:0+EQ,15,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,22,29,0,80,0,0,0.000501,SPYlearner,ExtraStates:1+EQ,16,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,42,59,0,196,0,0,0.0005,SPYlearner,ExtraStates:2+EQ,17,TeacherDFSM,,DFA_R4_ADS.fsm
1,4,4,2,2,39,39,3,116,0,0,0,L*,addAllPrefixesToS,0,TeacherDFSM,,DFA_R4_HS.fsm
1,4,4,2,2,29,29,3,71,0,0,0,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFA_R4_HS.fsm
1,4,4,2,2,29,29,3,71,0,0,0,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFA_R4_HS.fsm
1,4,4,2,2,31,31,3,74,0,0,0,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFA_R4_HS.fsm
1,4,4,2,2,32,32,3,77,0,0,0,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFA_R4_HS.fsm
1,4,4,2,2,42,42,1,99,0,0,0.0005,OP,AllGlobally,5,TeacherDFSM,,DFA_R4_HS.fsm
1,4,4,2,2,42,42,1,99,0,0,0,OP,OneGlobally,6,TeacherDFSM,,DFA_R4_HS.fsm
