FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
4	4	2	2	4	8	0.000000	ShortestSeparatingSequences	0	DFA_R4_ADS.fsm
4	4	2	2	4	8	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R4_ADS.fsm
4	4	2	2	4	12	0.001000	SplittingTreeBased	2	DFA_R4_ADS.fsm
4	4	2	2	6	11	0.000000	ShortestSeparatingSequences	0	DFA_R4_HS.fsm
4	4	2	2	6	11	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R4_HS.fsm
4	4	2	2	4	14	0.000000	SplittingTreeBased	2	DFA_R4_HS.fsm
4	4	2	2	6	11	0.000000	ShortestSeparatingSequences	0	DFA_R4_PDS.fsm
4	4	2	2	6	11	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R4_PDS.fsm
4	4	2	2	4	14	0.000000	SplittingTreeBased	2	DFA_R4_PDS.fsm
4	4	2	2	6	15	0.000000	ShortestSeparatingSequences	0	DFA_R4_SCSet.fsm
4	4	2	2	6	15	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R4_SCSet.fsm
4	4	2	2	6	18	0.000000	SplittingTreeBased	2	DFA_R4_SCSet.fsm
4	4	2	2	4	12	0.000000	ShortestSeparatingSequences	0	DFA_R4_SS.fsm
4	4	2	2	4	12	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R4_SS.fsm
4	4	2	2	4	16	0.000000	SplittingTreeBased	2	DFA_R4_SS.fsm
4	5	2	2	8	19	0.000000	ShortestSeparatingSequences	0	DFA_R5_SVS.fsm
4	5	2	2	8	19	0.000000	SeparatingSequencesFromSplittingTree	1	DFA_R5_SVS.fsm
4	5	2	2	7	23	0.001001	SplittingTreeBased	2	DFA_R5_SVS.fsm
1	4	2	2	4	16	0.000000	ShortestSeparatingSequences	0	DFSM_R4_ADS.fsm
1	4	2	2	4	16	0.000000	SeparatingSequencesFromSplittingTree	1	DFSM_R4_ADS.fsm
1	4	2	2	4	16	0.000000	SplittingTreeBased	2	DFSM_R4_ADS.fsm
1	4	2	2	6	13	0.000000	ShortestSeparatingSequences	0	DFSM_R4_SCSet.fsm
1	4	2	2	6	13	0.000000	SeparatingSequencesFromSplittingTree	1	DFSM_R4_SCSet.fsm
