Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	4	4	2	2	5	16	3	21	0	0	0.000000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFA_R4_ADS.fsm
1	4	4	2	2	14	41	1	70	0	0	0.000000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFA_R4_ADS.fsm
1	4	4	2	2	28	71	1	156	0	0	0.001000	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFA_R4_ADS.fsm
1	4	4	2	2	5	13	3	17	0	0	0.000999	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFA_R4_HS.fsm
1	4	4	2	2	16	33	1	65	0	0	0.000000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFA_R4_HS.fsm
1	4	4	2	2	35	67	1	171	0	0	0.001001	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFA_R4_HS.fsm
1	4	4	2	2	5	14	3	20	0	0	0.000000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFA_R4_PDS.fsm
1	4	4	2	2	12	32	1	54	0	0	0.000000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFA_R4_PDS.fsm
1	4	4	2	2	24	68	1	138	0	0	0.001003	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFA_R4_PDS.fsm
1	4	4	2	2	7	22	2	29	0	0	0.000000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFA_R4_SCSet.fsm
1	4	4	2	2	15	39	1	67	0	0	0.001003	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFA_R4_SCSet.fsm
1	4	4	2	2	34	84	1	189	0	0	0.001001	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFA_R4_SCSet.fsm
1	4	4	2	2	4	20	2	22	0	0	0.000000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFA_R4_SS.fsm
1	4	4	2	2	14	45	2	69	0	0	0.000000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFA_R4_SS.fsm
1	4	4	2	2	26	85	1	151	0	0	0.001001	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFA_R4_SS.fsm
1	4	5	2	2	10	31	4	46	0	0	0.001001	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFA_R5_SVS.fsm
1	4	5	2	2	18	57	1	102	0	0	0.001000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFA_R5_SVS.fsm
1	4	5	2	2	42	112	1	263	0	0	0.001002	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFA_R5_SVS.fsm
1	1	4	2	2	6	16	3	24	0	0	0.000999	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R4_ADS.fsm
1	1	4	2	2	12	36	1	63	0	0	0.000000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R4_ADS.fsm
1	1	4	2	2	26	76	1	160	0	0	0.001002	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R4_ADS.fsm
1	1	4	2	2	9	16	3	27	0	0	0.000999	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R4_SCSet.fsm
1	1	4	2	2	15	35	1	64	0	0	0.000000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R4_SCSet.fsm
1	1	4	2	2	33	73	1	170	0	0	0.001002	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R4_SCSet.fsm
1	1	5	3	2	15	43	4	62	0	0	0.001004	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R5_PDS.fsm
1	1	5	3	2	53	124	1	251	0	0	0.002001	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R5_PDS.fsm
1	1	5	3	2	161	330	1	902	0	0	0.004002	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R5_PDS.fsm
1	1	5	2	2	7	25	3	35	0	0	0.001000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R5_SVS.fsm
1	1	5	2	2	13	51	1	79	0	0	0.000500	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R5_SVS.fsm
1	1	5	2	2	37	90	1	215	0	0	0.001001	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R5_SVS.fsm
1	2	4	2	2	8	28	4	41	0	0	0.000502	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R4_ADS.fsm
1	2	4	2	2	18	63	1	112	0	0	0.000500	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R4_ADS.fsm
1	2	4	2	2	39	117	1	262	0	0	0.001001	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R4_ADS.fsm
1	2	4	2	2	10	27	4	41	0	0	0.000501	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R4_HS.fsm
1	2	4	2	2	23	49	1	105	0	0	0.000000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R4_HS.fsm
1	2	4	2	2	51	102	1	278	0	0	0.001267	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R4_HS.fsm
1	2	4	2	2	6	25	3	31	0	0	0.000000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R4_PDS.fsm
1	2	4	2	2	20	40	1	89	0	0	0.001002	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R4_PDS.fsm
1	2	4	2	2	44	89	1	241	0	0	0.001001	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R4_PDS.fsm
1	2	4	2	2	9	31	4	43	0	0	0.000990	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R4_SCSet.fsm
1	2	4	2	2	22	61	1	116	0	0	0.000999	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R4_SCSet.fsm
1	2	4	2	2	48	111	1	278	0	0	0.001002	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R4_SCSet.fsm
1	2	4	2	2	11	19	4	36	0	0	0.000999	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R4_SS.fsm
1	2	4	2	2	14	44	1	74	0	0	0.001002	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R4_SS.fsm
1	2	4	2	2	28	99	1	185	0	0	0.001000	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R4_SS.fsm
1	2	4	2	2	10	27	4	41	0	0	0.000000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R4_SVS.fsm
1	2	4	2	2	23	49	1	105	0	0	0.000000	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R4_SVS.fsm
1	2	4	2	2	51	102	1	278	0	0	0.001002	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R4_SVS.fsm
1	2	4	3	3	16	34	4	55	0	0	0.001002	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R4_Zhu1993.fsm
1	2	4	3	3	51	110	1	231	0	0	0.000999	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R4_Zhu1993.fsm
1	2	4	3	3	163	303	1	862	0	0	0.003001	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R4_Zhu1993.fsm
