Correct,FSMtype,States,Inputs,Outputs,Resets,OQs,EQs,symbols,BBresets,BBsymbols,seconds,Algorithm,CEprocessing,AlgId,Teacher,BB,fileName
1,3,100,2,2,3262,3262,11,35327,0,0,0.028018,L*,addAllPrefixesToS,0,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,3026,3026,12,28463,0,0,0.022013,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,3216,3216,16,30879,0,0,0.033526,L*,addSuffix1by1ToE,2,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,3250,3250,16,30223,0,0,0.02852,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,3271,3271,16,30374,0,0,0.029019,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,3465,3465,3,35818,0,0,0.018012,OP,AllGlobally,5,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,4444,4444,14,45405,0,0,0.01401,OP,OneGlobally,6,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,2826,2826,92,27996,0,0,0.037031,OP,OneLocally,7,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,4706,4706,92,35661,0,0,0.031022,DT,,8,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,1640,1640,88,13741,0,0,0.063046,TTT,,9,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,1597,1597,14,17753,0,0,0.021014,Quotient,,10,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,3920,3920,13,43264,0,0,0.044029,L*,addAllPrefixesToS,0,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,3631,3631,14,34645,0,0,0.020015,L*,addAllSuffixesAfterLastStateToE,1,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,3216,3216,16,30879,0,0,0.028021,L*,addSuffix1by1ToE,2,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,3250,3250,16,30223,0,0,0.023016,L*,addSuffixAfterLastStateToE,3,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,3271,3271,16,30374,0,0,0.025016,L*,addSuffixToE_binarySearch,4,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,4877,4877,4,52407,0,0,0.015012,OP,AllGlobally,5,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,4492,4492,14,45838,0,0,0.009508,OP,OneGlobally,6,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,2903,2903,91,28743,0,0,0.03002,OP,OneLocally,7,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,5333,5333,99,40316,0,0,0.022015,DT,,8,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,1688,1688,89,14089,0,0,0.035028,TTT,,9,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,1597,5033,14,17753,0,0,0.018014,Quotient,,10,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,1672,1672,7,17724,0,0,0.009006,L*,addAllPrefixesToS,0,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,3430,3430,14,33600,0,0,0.027019,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,2814,2814,14,26289,0,0,0.025015,L*,addSuffix1by1ToE,2,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,2843,2843,14,26486,0,0,0.024018,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,2859,2859,14,26596,0,0,0.024545,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,3182,3182,3,31921,0,0,0.010006,OP,AllGlobally,5,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,4047,4047,12,47134,0,0,0.01701,OP,OneGlobally,6,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,2836,2836,89,26913,0,0,0.029019,OP,OneLocally,7,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,5066,5066,99,37121,0,0,0.030526,DT,,8,TeacherDFSM,,Moore_R100_ueyvd.fsm
