Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	3	100	2	2	461	1725	1	5296	0	0	0.175616	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R100.fsm
1	3	100	2	2	461	1725	1	5296	0	0	0.181620	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R100.fsm
1	3	100	2	2	464	1786	1	5562	0	0	0.196130	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R100_ueyvd.fsm
1	3	100	2	2	464	1786	1	5562	0	0	0.200132	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R100_ueyvd.fsm
1	3	200	2	2	984	4902	2	14309	0	0	1.638585	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R200.fsm
1	3	200	2	2	984	4902	2	14309	0	0	1.659629	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R200.fsm
1	3	200	2	2	961	4220	1	13683	0	0	1.361402	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R200_LVKf4.fsm
1	3	200	2	2	961	4220	1	13683	0	0	1.237819	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R200_LVKf4.fsm
1	3	300	2	2	1401	6484	1	20324	0	0	3.238149	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R300.fsm
1	3	300	2	2	1401	6484	1	20324	0	0	3.200123	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R300.fsm
1	3	300	2	2	2414	14497	2	43210	0	0	26.388605	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R300_L5E63.fsm
1	3	300	2	2	2414	14497	2	43210	0	0	24.992787	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R300_L5E63.fsm
1	3	400	2	2	1794	8809	1	28061	0	0	5.982544	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R400.fsm
1	3	400	2	2	1794	8809	1	28061	0	0	5.969991	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R400.fsm
1	3	400	2	2	2918	17154	2	50469	0	0	33.862273	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R400_kGw0x.fsm
1	3	400	2	2	2918	17154	2	50469	0	0	33.789674	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R400_kGw0x.fsm
1	3	500	2	2	3351	21656	1	60465	0	0	52.257534	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R500.fsm
1	3	500	2	2	3351	21656	1	60465	0	0	52.015827	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R500.fsm
1	3	500	2	2	2587	17042	1	46655	0	0	21.982280	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R500_EaX8Q.fsm
1	3	500	2	2	2587	17042	1	46655	0	0	21.927381	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R500_EaX8Q.fsm
1	3	600	2	2	5343	34877	2	103163	0	0	247.605687	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R600.fsm
1	3	600	2	2	5343	34877	2	103163	0	0	243.449362	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R600.fsm
1	3	600	2	2	9715	73319	2	205785	0	0	1508.331686	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R600_hefpO.fsm
1	3	600	2	2	9715	73319	2	205785	0	0	1427.939021	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R600_hefpO.fsm
1	3	700	2	2	3903	26298	1	72815	0	0	74.393181	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R700.fsm
1	3	700	2	2	3903	26298	1	72815	0	0	74.611354	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R700.fsm
1	3	700	2	2	2980	16817	1	54624	0	0	25.990504	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R700_5hoR3.fsm
1	3	700	2	2	2980	16817	1	54624	0	0	25.771508	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R700_5hoR3.fsm
1	3	800	2	2	5561	37603	2	105164	0	0	203.287736	OTree	ExtraStates:1+EQ	0	TeacherDFSM		Moore_R800.fsm
1	3	800	2	2	5561	37603	2	105164	0	0	203.817632	OTree	ExtraStates:1+EQ	0	TeacherRL		Moore_R800.fsm
