Correct,FSMtype,States,Inputs,Outputs,Resets,OQs,EQs,symbols,BBresets,BBsymbols,seconds,Algorithm,CEprocessing,AlgId,Teacher,BB,fileName
1,3,100,2,2,461,1725,1,5296,0,0,0.062041,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R100.fsm
1,3,100,2,2,461,1725,1,5296,0,0,0.05804,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R100.fsm
1,3,100,2,2,464,1786,1,5562,0,0,0.073048,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R100_ueyvd.fsm
1,3,100,2,2,464,1786,1,5562,0,0,0.06054,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R100_ueyvd.fsm
1,3,200,2,2,1028,4371,2,14074,0,0,0.331219,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R200.fsm
1,3,200,2,2,1028,4371,2,14074,0,0,0.330218,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R200.fsm
1,3,200,2,2,961,4220,1,13683,0,0,0.299699,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R200_LVKf4.fsm
1,3,200,2,2,961,4220,1,13683,0,0,0.288191,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R200_LVKf4.fsm
1,3,300,2,2,1400,6487,1,20333,0,0,0.538862,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R300.fsm
1,3,300,2,2,1400,6487,1,20333,0,0,0.653432,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R300.fsm
1,3,300,2,2,2410,14724,3,43285,0,0,2.874403,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R300_L5E63.fsm
1,3,300,2,2,2410,14724,3,43285,0,0,2.724322,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R300_L5E63.fsm
1,3,400,2,2,1793,8809,1,28058,0,0,1.096226,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R400.fsm
1,3,400,2,2,1793,8809,1,28058,0,0,1.033184,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R400.fsm
1,3,400,2,2,2928,16521,1,49945,0,0,4.133244,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R400_kGw0x.fsm
1,3,400,2,2,2928,16521,1,49945,0,0,5.026837,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R400_kGw0x.fsm
1,3,500,2,2,3541,20392,1,62158,0,0,6.573387,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R500.fsm
1,3,500,2,2,3541,20392,1,62158,0,0,6.234127,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R500.fsm
1,3,500,2,2,2673,15315,2,45144,0,0,3.738475,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R500_EaX8Q.fsm
1,3,500,2,2,2673,15315,2,45144,0,0,3.82092,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R500_EaX8Q.fsm
1,3,600,2,2,5163,34128,2,97749,0,0,17.99794,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R600.fsm
1,3,600,2,2,5163,34128,2,97749,0,0,16.163161,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R600.fsm
1,3,600,2,2,9607,77648,4,206255,0,0,77.742362,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R600_hefpO.fsm
1,3,600,2,2,9607,77648,4,206255,0,0,68.821293,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R600_hefpO.fsm
1,3,700,2,2,4013,25761,1,73243,0,0,7.720113,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R700.fsm
1,3,700,2,2,4013,25761,1,73243,0,0,7.645488,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R700.fsm
1,3,700,2,2,2980,16817,1,54624,0,0,3.453791,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R700_5hoR3.fsm
1,3,700,2,2,2980,16817,1,54624,0,0,3.442295,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R700_5hoR3.fsm
1,3,800,2,2,4821,38554,2,96569,0,0,15.258117,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R800.fsm
1,3,800,2,2,4821,38554,2,96569,0,0,15.334169,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R800.fsm
1,3,800,2,2,14055,125928,5,327296,0,0,205.455693,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R800_X9Req.fsm
1,3,800,2,2,14055,125928,5,327296,0,0,200.747917,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R800_X9Req.fsm
1,3,900,2,2,4306,27883,2,82176,0,0,9.276142,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R900.fsm
1,3,900,2,2,4306,27883,2,82176,0,0,9.458262,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R900.fsm
1,3,900,2,2,4811,39461,2,100473,0,0,15.944559,OTree,ExtraStates:1+EQ,12,TeacherDFSM,,Moore_R900_mELr4.fsm
1,3,900,2,2,4811,39461,2,100473,0,0,16.05163,OTree,ExtraStates:1+EQ,12,TeacherRL,,Moore_R900_mELr4.fsm
