Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	3	100	2	2	0	300	6378	0.006004	TS	H-method	0	Moore_R100.fsm
0	3	100	2	2	0	286	7152	0.014508	TS	SPY-method	1	Moore_R100.fsm
0	3	100	2	2	0	201	4637	0.008007	TS	SPYH-method	2	Moore_R100.fsm
0	3	100	2	2	0	207	4693	0.045029	TS	S-method	3	Moore_R100.fsm
0	3	100	2	2	1	539	12663	0.010507	TS	H-method	0	Moore_R100.fsm
0	3	100	2	2	1	513	13519	0.012508	TS	SPY-method	1	Moore_R100.fsm
0	3	100	2	2	1	358	9234	0.019013	TS	SPYH-method	2	Moore_R100.fsm
0	3	100	2	2	1	324	8302	0.074549	TS	S-method	3	Moore_R100.fsm
0	3	100	2	2	2	991	25671	0.019514	TS	H-method	0	Moore_R100.fsm
0	3	100	2	2	2	927	26769	0.027519	TS	SPY-method	1	Moore_R100.fsm
0	3	100	2	2	2	617	18393	0.026017	TS	SPYH-method	2	Moore_R100.fsm
0	3	100	2	2	2	542	15492	0.128584	TS	S-method	3	Moore_R100.fsm
0	3	1000	2	2	0	12699	424327	2.182950	TS	H-method	0	Moore_R1000.fsm
0	3	1000	2	2	0	9486	462264	2.635262	TS	SPY-method	1	Moore_R1000.fsm
0	3	1000	2	2	0	7450	273444	4.936778	TS	SPYH-method	2	Moore_R1000.fsm
0	3	1000	2	2	0	10028	383666	23.179977	TS	S-method	3	Moore_R1000.fsm
0	3	1000	2	2	1	20906	731776	3.756039	TS	H-method	0	Moore_R1000.fsm
0	3	1000	2	2	1	17616	806428	2.691787	TS	SPY-method	1	Moore_R1000.fsm
0	3	1000	2	2	1	10709	418771	12.989700	TS	SPYH-method	2	Moore_R1000.fsm
0	3	1000	2	2	1	16356	650728	44.946390	TS	S-method	3	Moore_R1000.fsm
0	3	1000	2	2	2	33542	1234516	6.762140	TS	H-method	0	Moore_R1000.fsm
0	3	1000	2	2	2	33414	1523838	3.229645	TS	SPY-method	1	Moore_R1000.fsm
0	3	1000	2	2	2	16328	685858	43.700079	TS	SPYH-method	2	Moore_R1000.fsm
