Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	3	100	2	2	0	300	6378	0.005004	TS	H-method	0	Moore_R100.fsm
0	3	100	2	2	0	286	7152	0.015008	TS	SPY-method	1	Moore_R100.fsm
0	3	100	2	2	0	192	4334	0.034022	TS	SPYH-method	2	Moore_R100.fsm
0	3	100	2	2	1	539	12663	0.007005	TS	H-method	0	Moore_R100.fsm
0	3	100	2	2	1	513	13519	0.020014	TS	SPY-method	1	Moore_R100.fsm
0	3	100	2	2	1	299	7679	0.107071	TS	SPYH-method	2	Moore_R100.fsm
0	3	100	2	2	2	991	25671	0.015011	TS	H-method	0	Moore_R100.fsm
0	3	100	2	2	2	927	26769	0.021014	TS	SPY-method	1	Moore_R100.fsm
0	3	100	2	2	2	537	15123	0.156103	TS	SPYH-method	2	Moore_R100.fsm
0	3	1000	2	2	0	12699	424327	2.041355	TS	H-method	0	Moore_R1000.fsm
0	3	1000	2	2	0	9486	462264	2.459633	TS	SPY-method	1	Moore_R1000.fsm
0	3	1000	2	2	0	9465	359081	89.980748	TS	SPYH-method	2	Moore_R1000.fsm
0	3	1000	2	2	1	20906	731776	3.500326	TS	H-method	0	Moore_R1000.fsm
0	3	1000	2	2	1	17616	806428	2.499659	TS	SPY-method	1	Moore_R1000.fsm
0	3	1000	2	2	1	13725	541869	296.261768	TS	SPYH-method	2	Moore_R1000.fsm
0	3	1000	2	2	2	33542	1234516	6.592378	TS	H-method	0	Moore_R1000.fsm
0	3	1000	2	2	2	33414	1523838	3.206129	TS	SPY-method	1	Moore_R1000.fsm
0	3	1000	2	2	2	23651	952137	729.766806	TS	SPYH-method	2	Moore_R1000.fsm
0	3	1000	2	2	0	8526	272408	1.162773	TS	H-method	0	Moore_R1000_iEGpW.fsm
0	3	1000	2	2	0	6323	280721	1.556032	TS	SPY-method	1	Moore_R1000_iEGpW.fsm
0	3	1000	2	2	0	5358	186008	34.125657	TS	SPYH-method	2	Moore_R1000_iEGpW.fsm
0	3	1000	2	2	1	14418	487806	1.848227	TS	H-method	0	Moore_R1000_iEGpW.fsm
0	3	1000	2	2	1	11733	502939	1.962304	TS	SPY-method	1	Moore_R1000_iEGpW.fsm
0	3	1000	2	2	1	8827	319993	113.415308	TS	SPYH-method	2	Moore_R1000_iEGpW.fsm
0	3	1000	2	2	2	24210	872408	3.185114	TS	H-method	0	Moore_R1000_iEGpW.fsm
0	3	1000	2	2	2	22349	968097	2.069375	TS	SPY-method	1	Moore_R1000_iEGpW.fsm
0	3	1000	2	2	2	14895	566123	275.541993	TS	SPYH-method	2	Moore_R1000_iEGpW.fsm
0	3	100	2	2	0	298	6356	0.006008	TS	H-method	0	Moore_R100_ueyvd.fsm
0	3	100	2	2	0	291	7221	0.013008	TS	SPY-method	1	Moore_R100_ueyvd.fsm
0	3	100	2	2	0	190	4184	0.036025	TS	SPYH-method	2	Moore_R100_ueyvd.fsm
0	3	100	2	2	1	552	12972	0.009005	TS	H-method	0	Moore_R100_ueyvd.fsm
0	3	100	2	2	1	541	13841	0.012005	TS	SPY-method	1	Moore_R100_ueyvd.fsm
0	3	100	2	2	1	304	7558	0.062041	TS	SPYH-method	2	Moore_R100_ueyvd.fsm
0	3	100	2	2	2	1012	26390	0.014009	TS	H-method	0	Moore_R100_ueyvd.fsm
0	3	100	2	2	2	984	27526	0.020013	TS	SPY-method	1	Moore_R100_ueyvd.fsm
0	3	100	2	2	2	501	14207	0.131087	TS	SPYH-method	2	Moore_R100_ueyvd.fsm
0	3	200	2	2	0	749	18633	0.018011	TS	H-method	0	Moore_R200.fsm
0	3	200	2	2	0	720	21216	0.039022	TS	SPY-method	1	Moore_R200.fsm
0	3	200	2	2	0	496	12812	0.159105	TS	SPYH-method	2	Moore_R200.fsm
0	3	200	2	2	1	1353	36589	0.025013	TS	H-method	0	Moore_R200.fsm
0	3	200	2	2	1	1331	40105	0.039023	TS	SPY-method	1	Moore_R200.fsm
0	3	200	2	2	1	749	21485	0.364240	TS	SPYH-method	2	Moore_R200.fsm
0	3	200	2	2	2	2185	64283	0.040030	TS	H-method	0	Moore_R200.fsm
0	3	200	2	2	2	2462	79102	0.064043	TS	SPY-method	1	Moore_R200.fsm
0	3	200	2	2	2	1275	40393	0.943627	TS	SPYH-method	2	Moore_R200.fsm
0	3	200	2	2	0	735	18285	0.020014	TS	H-method	0	Moore_R200_LVKf4.fsm
0	3	200	2	2	0	653	19899	0.034022	TS	SPY-method	1	Moore_R200_LVKf4.fsm
0	3	200	2	2	0	423	11179	0.148098	TS	SPYH-method	2	Moore_R200_LVKf4.fsm
0	3	200	2	2	1	1353	36659	0.027017	TS	H-method	0	Moore_R200_LVKf4.fsm
0	3	200	2	2	1	1159	36569	0.042027	TS	SPY-method	1	Moore_R200_LVKf4.fsm
0	3	200	2	2	1	684	19962	0.335222	TS	SPYH-method	2	Moore_R200_LVKf4.fsm
0	3	200	2	2	2	2256	66770	0.043027	TS	H-method	0	Moore_R200_LVKf4.fsm
0	3	200	2	2	2	2196	72772	0.062042	TS	SPY-method	1	Moore_R200_LVKf4.fsm
0	3	200	2	2	2	1202	38172	0.843561	TS	SPYH-method	2	Moore_R200_LVKf4.fsm
0	3	300	2	2	0	1094	27116	0.035024	TS	H-method	0	Moore_R300.fsm
0	3	300	2	2	0	913	26909	0.063040	TS	SPY-method	1	Moore_R300.fsm
0	3	300	2	2	0	699	18315	0.331222	TS	SPYH-method	2	Moore_R300.fsm
0	3	300	2	2	1	2044	55540	0.049033	TS	H-method	0	Moore_R300.fsm
