FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
2	10	2	2	22	36	0.000000	ShortestSeparatingSequences	0	Mealy_R10.fsm
2	10	2	2	22	36	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10.fsm
2	10	2	2	10	37	0.000503	SplittingTreeBased	2	Mealy_R10.fsm
2	10	2	2	21	36	0.000498	ShortestSeparatingSequences	0	Mealy_R10_0VFLT.fsm
2	10	2	2	22	36	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_0VFLT.fsm
2	10	2	2	10	36	0.000000	SplittingTreeBased	2	Mealy_R10_0VFLT.fsm
2	10	2	2	20	34	0.000000	ShortestSeparatingSequences	0	Mealy_R10_cfetx.fsm
2	10	2	2	19	40	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_cfetx.fsm
2	10	2	2	10	37	0.000000	SplittingTreeBased	2	Mealy_R10_cfetx.fsm
2	10	2	2	24	43	0.000000	ShortestSeparatingSequences	0	Mealy_R10_NKB8J.fsm
2	10	2	2	22	44	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_NKB8J.fsm
2	10	2	2	10	44	0.000000	SplittingTreeBased	2	Mealy_R10_NKB8J.fsm
2	10	2	2	23	40	0.000000	ShortestSeparatingSequences	0	Mealy_R10_qK62k.fsm
2	10	2	2	22	39	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_qK62k.fsm
2	10	2	2	10	38	0.000000	SplittingTreeBased	2	Mealy_R10_qK62k.fsm
2	10	2	2	21	41	0.000000	ShortestSeparatingSequences	0	Mealy_R10_WTYjL.fsm
2	10	2	2	20	39	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_WTYjL.fsm
2	10	2	2	10	37	0.000500	SplittingTreeBased	2	Mealy_R10_WTYjL.fsm
2	10	2	2	25	47	0.000500	ShortestSeparatingSequences	0	Mealy_R10_XyvOQ.fsm
2	10	2	2	15	42	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_XyvOQ.fsm
2	10	2	2	10	46	0.000500	SplittingTreeBased	2	Mealy_R10_XyvOQ.fsm
2	10	2	2	26	50	0.000000	ShortestSeparatingSequences	0	Mealy_R10_YfxFl.fsm
2	10	2	2	22	43	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_YfxFl.fsm
2	10	2	2	10	50	0.000000	SplittingTreeBased	2	Mealy_R10_YfxFl.fsm
2	10	2	2	22	37	0.000000	ShortestSeparatingSequences	0	Mealy_R10_YlOac.fsm
2	10	2	2	23	45	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_YlOac.fsm
2	10	2	2	10	44	0.000000	SplittingTreeBased	2	Mealy_R10_YlOac.fsm
2	10	2	2	23	38	0.000000	ShortestSeparatingSequences	0	Mealy_R10_yZjoV.fsm
2	10	2	2	20	37	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R10_yZjoV.fsm
2	10	2	2	10	37	0.000000	SplittingTreeBased	2	Mealy_R10_yZjoV.fsm
2	20	2	2	54	107	0.000000	ShortestSeparatingSequences	0	Mealy_R20.fsm
2	20	2	2	47	97	0.000501	SeparatingSequencesFromSplittingTree	1	Mealy_R20.fsm
2	20	2	2	20	91	0.000500	SplittingTreeBased	2	Mealy_R20.fsm
2	20	2	2	56	117	0.000000	ShortestSeparatingSequences	0	Mealy_R20_08i2n.fsm
2	20	2	2	47	104	0.000000	SeparatingSequencesFromSplittingTree	1	Mealy_R20_08i2n.fsm
2	20	2	2	20	120	0.000500	SplittingTreeBased	2	Mealy_R20_08i2n.fsm
2	20	2	2	56	118	0.000501	ShortestSeparatingSequences	0	Mealy_R20_0cQtT.fsm
