Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	2	10	2	2	0	21	173	0.000000	TS	PDS-method	0	Mealy_R10.fsm
0	2	10	2	2	0	11	87	0.000000	TS	ADS-method	1	Mealy_R10.fsm
0	2	10	2	2	0	35	228	0.001001	TS	SVS-method	2	Mealy_R10.fsm
0	2	10	2	2	0	33	198	0.000000	TS	W-method	3	Mealy_R10.fsm
0	2	10	2	2	0	44	264	0.001001	TS	W-methodST	4	Mealy_R10.fsm
0	2	10	2	2	0	24	132	0.000000	TS	Wp-method	5	Mealy_R10.fsm
0	2	10	2	2	0	22	125	0.000000	TS	Wp-methodST	6	Mealy_R10.fsm
0	2	10	2	2	0	24	134	0.000000	TS	HSI-method	7	Mealy_R10.fsm
0	2	10	2	2	0	11	87	0.001001	TS	HSI-methodST	8	Mealy_R10.fsm
0	2	10	2	2	0	24	138	0.000000	TS	H-method	9	Mealy_R10.fsm
0	2	10	2	2	0	18	118	0.000998	TS	SPY-method	10	Mealy_R10.fsm
0	2	10	2	2	0	11	87	0.000000	TS	SPY-methodST	11	Mealy_R10.fsm
0	2	10	2	2	0	16	103	0.000000	TS	SPYH-method	12	Mealy_R10.fsm
0	2	10	2	2	0	10	83	0.001001	TS	S-method	13	Mealy_R10.fsm
0	2	10	2	2	0	3	78	0.000000	TS	Mra-method	14	Mealy_R10.fsm
0	2	10	2	2	1	43	393	0.001001	TS	PDS-method	0	Mealy_R10.fsm
0	2	10	2	2	1	22	195	0.000000	TS	ADS-method	1	Mealy_R10.fsm
0	2	10	2	2	1	73	555	0.001001	TS	SVS-method	2	Mealy_R10.fsm
0	2	10	2	2	1	66	462	0.000000	TS	W-method	3	Mealy_R10.fsm
0	2	10	2	2	1	88	616	0.001001	TS	W-methodST	4	Mealy_R10.fsm
0	2	10	2	2	1	51	338	0.000000	TS	Wp-method	5	Mealy_R10.fsm
0	2	10	2	2	1	48	317	0.000000	TS	Wp-methodST	6	Mealy_R10.fsm
0	2	10	2	2	1	51	339	0.001001	TS	HSI-method	7	Mealy_R10.fsm
0	2	10	2	2	1	22	195	0.000000	TS	HSI-methodST	8	Mealy_R10.fsm
0	2	10	2	2	1	46	321	0.000000	TS	H-method	9	Mealy_R10.fsm
0	2	10	2	2	1	32	265	0.001001	TS	SPY-method	10	Mealy_R10.fsm
0	2	10	2	2	1	22	195	0.000000	TS	SPY-methodST	11	Mealy_R10.fsm
0	2	10	2	2	1	31	266	0.000000	TS	SPYH-method	12	Mealy_R10.fsm
0	2	10	2	2	1	18	197	0.002001	TS	S-method	13	Mealy_R10.fsm
0	2	10	2	2	1	3	78	0.000000	TS	Mra-method	14	Mealy_R10.fsm
0	2	10	2	2	2	83	851	0.001001	TS	PDS-method	0	Mealy_R10.fsm
0	2	10	2	2	2	44	435	0.000000	TS	ADS-method	1	Mealy_R10.fsm
0	2	10	2	2	2	141	1206	0.002001	TS	SVS-method	2	Mealy_R10.fsm
0	2	10	2	2	2	132	1056	0.000000	TS	W-method	3	Mealy_R10.fsm
0	2	10	2	2	2	176	1408	0.001001	TS	W-methodST	4	Mealy_R10.fsm
0	2	10	2	2	2	97	734	0.001001	TS	Wp-method	5	Mealy_R10.fsm
0	2	10	2	2	2	95	731	0.001001	TS	Wp-methodST	6	Mealy_R10.fsm
0	2	10	2	2	2	97	741	0.001002	TS	HSI-method	7	Mealy_R10.fsm
0	2	10	2	2	2	44	435	0.000000	TS	HSI-methodST	8	Mealy_R10.fsm
0	2	10	2	2	2	79	637	0.001000	TS	H-method	9	Mealy_R10.fsm
0	2	10	2	2	2	58	552	0.001001	TS	SPY-method	10	Mealy_R10.fsm
0	2	10	2	2	2	44	435	0.000000	TS	SPY-methodST	11	Mealy_R10.fsm
0	2	10	2	2	2	54	506	0.001000	TS	SPYH-method	12	Mealy_R10.fsm
0	2	10	2	2	2	31	406	0.005002	TS	S-method	13	Mealy_R10.fsm
0	2	10	2	2	2	3	78	0.000000	TS	Mra-method	14	Mealy_R10.fsm
0	2	10	2	2	0	21	179	0.000000	TS	PDS-method	0	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	13	102	0.000000	TS	ADS-method	1	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	30	199	0.001000	TS	SVS-method	2	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	22	138	0.001001	TS	W-method	3	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	33	207	0.000000	TS	W-methodST	4	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	25	153	0.000000	TS	Wp-method	5	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	25	144	0.001001	TS	Wp-methodST	6	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	25	156	0.000000	TS	HSI-method	7	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	13	102	0.000000	TS	HSI-methodST	8	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	20	118	0.000000	TS	H-method	9	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	22	153	0.001001	TS	SPY-method	10	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	13	102	0.000000	TS	SPY-methodST	11	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	15	106	0.000000	TS	SPYH-method	12	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	12	97	0.001001	TS	S-method	13	Mealy_R10_0VFLT.fsm
0	2	10	2	2	0	1	92	0.000000	TS	Mra-method	14	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	43	405	0.000000	TS	PDS-method	0	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	27	237	0.000000	TS	ADS-method	1	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	61	458	0.001000	TS	SVS-method	2	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	44	320	0.001002	TS	W-method	3	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	66	480	0.000000	TS	W-methodST	4	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	46	318	0.001000	TS	Wp-method	5	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	51	342	0.000000	TS	Wp-methodST	6	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	46	325	0.000000	TS	HSI-method	7	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	27	237	0.001001	TS	HSI-methodST	8	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	41	295	0.000000	TS	H-method	9	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	33	279	0.000000	TS	SPY-method	10	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	27	237	0.001001	TS	SPY-methodST	11	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	30	248	0.000000	TS	SPYH-method	12	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	25	245	0.002001	TS	S-method	13	Mealy_R10_0VFLT.fsm
0	2	10	2	2	1	1	92	0.000000	TS	Mra-method	14	Mealy_R10_0VFLT.fsm
0	2	10	2	2	2	86	895	0.001001	TS	PDS-method	0	Mealy_R10_0VFLT.fsm
0	2	10	2	2	2	54	519	0.000000	TS	ADS-method	1	Mealy_R10_0VFLT.fsm
0	2	10	2	2	2	123	1052	0.002001	TS	SVS-method	2	Mealy_R10_0VFLT.fsm
0	2	10	2	2	2	88	728	0.000000	TS	W-method	3	Mealy_R10_0VFLT.fsm
0	2	10	2	2	2	132	1092	0.001001	TS	W-methodST	4	Mealy_R10_0VFLT.fsm
0	2	10	2	2	2	93	731	0.001001	TS	Wp-method	5	Mealy_R10_0VFLT.fsm
