Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	1	10	2	2	30	44	6	128	0	0	0.030520	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10.fsm
1	1	10	2	2	53	81	1	268	0	0	0.076549	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10.fsm
1	1	10	2	2	89	163	1	538	0	0	0.180120	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10.fsm
1	1	10	2	2	27	42	4	117	0	0	0.234656	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_1IXAr.fsm
1	1	10	2	2	50	79	1	248	0	0	0.383756	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_1IXAr.fsm
1	1	10	2	2	84	150	1	501	0	0	0.571379	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_1IXAr.fsm
1	1	10	2	2	28	43	7	168	0	0	0.209639	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_3mEdB.fsm
1	1	10	2	2	53	74	1	338	0	0	0.323715	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_3mEdB.fsm
1	1	10	2	2	95	155	1	705	0	0	0.402766	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_3mEdB.fsm
1	1	10	2	2	34	44	6	137	0	0	0.195129	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_4Qb4G.fsm
1	1	10	2	2	53	77	1	258	0	0	0.295696	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_4Qb4G.fsm
1	1	10	2	2	92	149	1	535	0	0	0.453301	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_4Qb4G.fsm
1	1	10	2	2	28	45	5	126	0	0	0.217144	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_9uITW.fsm
1	1	10	2	2	62	85	1	369	0	0	0.366245	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_9uITW.fsm
1	1	10	2	2	107	157	1	734	0	0	0.490326	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_9uITW.fsm
1	1	10	2	2	29	43	6	125	0	0	0.269679	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_l24Pw.fsm
1	1	10	2	2	52	80	1	272	0	0	0.300698	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_l24Pw.fsm
1	1	10	2	2	90	151	1	559	0	0	0.405770	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_l24Pw.fsm
1	1	10	2	2	29	42	7	148	0	0	0.219144	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_mXjwB.fsm
1	1	10	2	2	52	80	1	308	0	0	0.440792	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_mXjwB.fsm
1	1	10	2	2	92	156	1	634	0	0	0.536357	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_mXjwB.fsm
1	1	10	2	2	35	45	6	146	0	0	0.314710	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_qYutQ.fsm
1	1	10	2	2	61	88	1	309	0	0	0.508336	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_qYutQ.fsm
1	1	10	2	2	101	168	1	613	0	0	0.596896	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_qYutQ.fsm
1	1	10	2	2	26	45	7	124	0	0	0.243160	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_vtwn3.fsm
1	1	10	2	2	52	101	1	320	0	0	0.416776	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_vtwn3.fsm
1	1	10	2	2	94	191	1	675	0	0	0.458305	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_vtwn3.fsm
1	1	10	2	2	32	39	7	130	0	0	0.284690	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R10_YK6Hj.fsm
1	1	10	2	2	59	79	1	290	0	0	0.444796	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R10_YK6Hj.fsm
1	1	10	2	2	100	160	1	591	0	0	0.660940	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R10_YK6Hj.fsm
1	1	20	2	2	67	90	14	349	0	0	0.549865	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R20.fsm
1	1	20	2	2	111	170	1	664	0	0	0.698464	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R20.fsm
1	1	20	2	2	192	336	1	1358	0	0	0.931117	OTree	ExtraStates:2+EQ	2	TeacherDFSM		DFSM_R20.fsm
1	1	20	2	2	70	86	12	363	0	0	0.410773	OTree	ExtraStates:0+EQ	0	TeacherDFSM		DFSM_R20_dAUa7.fsm
1	1	20	2	2	117	170	1	712	0	0	0.822547	OTree	ExtraStates:1+EQ	1	TeacherDFSM		DFSM_R20_dAUa7.fsm
