Correct,FSMtype,States,Inputs,Outputs,Resets,OQs,EQs,symbols,BBresets,BBsymbols,seconds,Algorithm,CEprocessing,AlgId,Teacher,BB,fileName
1,1,10,2,2,162,162,4,678,0,0,0.080554,L*,addAllPrefixesToS,0,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,129,129,4,530,0,0,0.08956,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,129,129,4,530,0,0,0.101568,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,132,132,4,537,0,0,0.113575,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,133,133,4,540,0,0,0.084557,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,205,205,3,1009,0,0,0.040525,OP,AllGlobally,5,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,187,187,4,933,0,0,0.162108,OP,OneGlobally,6,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,159,159,6,834,0,0,0.133088,OP,OneLocally,7,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,190,190,9,595,0,0,0.072549,DT,,8,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,98,98,6,348,0,0,0.170111,TTT,,9,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,50,50,2,221,0,0,0.068045,Quotient,,10,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,81,81,1,403,0,0,0.284192,GoodSplit,maxDistLen:2+EQ,11,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,24,46,5,124,0,0,0.066545,OTree,ExtraStates:0+EQ,12,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,34,86,1,209,0,0,0.076549,OTree,ExtraStates:1+EQ,13,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,73,163,1,503,0,0,0.222648,OTree,ExtraStates:2+EQ,14,TeacherDFSM,,DFSM_R10.fsm
1,1,10,2,2,135,135,3,632,0,0,0.37775,L*,addAllPrefixesToS,0,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,107,107,3,473,0,0,0.277184,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,107,107,3,473,0,0,0.247171,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,109,109,3,478,0,0,0.269186,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,110,110,3,482,0,0,0.276684,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,157,157,2,673,0,0,0.162608,OP,AllGlobally,5,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,162,162,3,750,0,0,0.156104,OP,OneGlobally,6,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,138,138,4,618,0,0,0.145597,OP,OneLocally,7,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,191,191,9,616,0,0,0.095564,DT,,8,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,105,105,7,388,0,0,0.246663,TTT,,9,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,47,47,2,201,0,0,0.087558,Quotient,,10,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,70,70,1,339,0,0,0.442297,GoodSplit,maxDistLen:2+EQ,11,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,17,42,2,79,0,0,0.119579,OTree,ExtraStates:0+EQ,12,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,34,87,1,193,0,0,0.16461,OTree,ExtraStates:1+EQ,13,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,69,156,1,453,0,0,0.190126,OTree,ExtraStates:2+EQ,14,TeacherDFSM,,DFSM_R10_1IXAr.fsm
1,1,10,2,2,150,150,4,918,0,0,0.323713,L*,addAllPrefixesToS,0,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,129,129,4,729,0,0,0.335726,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,129,129,4,729,0,0,0.364242,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,132,132,4,738,0,0,0.337228,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,136,136,4,758,0,0,0.351735,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,175,175,2,1063,0,0,0.209139,OP,AllGlobally,5,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,179,179,4,1000,0,0,0.183121,OP,OneGlobally,6,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,137,137,5,754,0,0,0.16611,OP,OneLocally,7,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,214,214,8,956,0,0,0.140093,DT,,8,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,104,104,7,560,0,0,0.163609,TTT,,9,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,53,53,2,312,0,0,0.098567,Quotient,,10,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,71,71,1,440,0,0,0.347231,GoodSplit,maxDistLen:2+EQ,11,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,23,43,6,147,0,0,0.08656,OTree,ExtraStates:0+EQ,12,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,35,82,1,247,0,0,0.153101,OTree,ExtraStates:1+EQ,13,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,76,158,1,604,0,0,0.186124,OTree,ExtraStates:2+EQ,14,TeacherDFSM,,DFSM_R10_3mEdB.fsm
1,1,10,2,2,186,186,4,937,0,0,0.217649,L*,addAllPrefixesToS,0,TeacherDFSM,,DFSM_R10_4Qb4G.fsm
1,1,10,2,2,129,129,4,545,0,0,0.1501,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFSM_R10_4Qb4G.fsm
1,1,10,2,2,129,129,4,545,0,0,0.160607,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFSM_R10_4Qb4G.fsm
1,1,10,2,2,132,132,4,554,0,0,0.149598,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFSM_R10_4Qb4G.fsm
1,1,10,2,2,135,135,4,568,0,0,0.139094,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFSM_R10_4Qb4G.fsm
1,1,10,2,2,189,189,2,806,0,0,0.106069,OP,AllGlobally,5,TeacherDFSM,,DFSM_R10_4Qb4G.fsm
1,1,10,2,2,193,193,4,792,0,0,0.123582,OP,OneGlobally,6,TeacherDFSM,,DFSM_R10_4Qb4G.fsm
1,1,10,2,2,144,144,4,568,0,0,0.084556,OP,OneLocally,7,TeacherDFSM,,DFSM_R10_4Qb4G.fsm
