Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
0	2	10	2	2	2	2	0	2	0	0	0.010007	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	83	131	0	502	0	0	0.153101	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	161	258	0	1147	0	0	0.224148	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10.fsm
0	2	20	2	2	2	2	0	2	0	0	0.000501	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	189	277	0	1295	0	0	0.544865	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	361	559	0	2830	0	0	0.798031	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20.fsm
0	2	30	2	2	2	2	0	2	0	0	0.000000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30.fsm
1	2	30	2	2	312	484	0	2581	0	0	6.261285	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30.fsm
1	2	30	2	2	587	957	0	5517	0	0	7.229801	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30.fsm
0	2	40	2	2	2	2	0	2	0	0	0.000501	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R40.fsm
1	2	40	2	2	403	694	0	3412	0	0	8.716952	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R40.fsm
1	2	40	2	2	806	1343	0	7611	0	0	6.460714	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R40.fsm
0	2	50	2	2	2	2	0	2	0	0	0.000500	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R50.fsm
1	2	50	2	2	556	915	0	5148	0	0	29.931079	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R50.fsm
1	2	50	2	2	1071	1806	0	11105	0	0	34.598288	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R50.fsm
0	2	60	2	2	2	2	0	2	0	0	0.000501	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R60.fsm
1	2	60	2	2	675	1192	0	6881	0	0	31.220987	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R60.fsm
1	2	60	2	2	1329	2314	0	14976	0	0	41.564230	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R60.fsm
0	3	10	2	2	3	5	0	5	0	0	0.000500	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Moore_R10_OfW88.fsm
1	3	10	2	2	82	140	0	470	0	0	6.221912	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Moore_R10_OfW88.fsm
1	3	10	2	2	155	283	0	1057	0	0	2.510695	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Moore_R10_OfW88.fsm
0	3	20	2	2	2	3	0	2	0	0	0.000501	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Moore_R20.fsm
1	3	20	2	2	162	250	0	1179	0	0	0.405268	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Moore_R20.fsm
1	3	20	2	2	292	493	0	2413	0	0	0.676449	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Moore_R20.fsm
0	3	30	2	2	3	5	0	5	0	0	0.001000	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Moore_R30_6nBWl.fsm
1	3	30	2	2	259	410	0	2033	0	0	7.063171	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Moore_R30_6nBWl.fsm
1	3	30	2	2	524	811	0	4693	0	0	8.670271	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Moore_R30_6nBWl.fsm
0	3	40	2	2	2	3	0	2	0	0	0.000502	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Moore_R40.fsm
0	3	40	2	2	6	7	0	10	0	0	0.001001	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Moore_R40.fsm
1	3	40	2	2	692	1238	0	7090	0	0	13.714908	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Moore_R40.fsm
0	3	50	2	2	4	5	0	6	0	0	0.001001	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Moore_R50.fsm
1	3	50	2	2	468	848	0	4513	0	0	8.887684	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Moore_R50.fsm
1	3	50	2	2	919	1696	0	9838	0	0	9.950198	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Moore_R50.fsm
0	3	60	2	2	2	3	0	2	0	0	0.000501	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Moore_R60.fsm
1	3	60	2	2	641	1033	0	6259	0	0	20.001129	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Moore_R60.fsm
1	3	60	2	2	1264	2046	0	13771	0	0	20.723886	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Moore_R60.fsm
