Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	2	10	2	2	42	61	10	210	0	0	0.003001	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	83	129	1	485	0	0	0.005003	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	161	261	1	1108	0	0	0.006503	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	39	60	8	201	0	0	0.003004	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	91	129	1	554	0	0	0.006003	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	181	262	1	1288	0	0	0.007004	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	42	59	10	215	0	0	0.002502	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_cfetx.fsm
1	2	10	2	2	81	131	1	531	0	0	0.005003	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_cfetx.fsm
1	2	10	2	2	153	265	1	1150	0	0	0.010007	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_cfetx.fsm
1	2	10	2	2	33	59	7	180	0	0	0.002001	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_NKB8J.fsm
1	2	10	2	2	72	116	1	448	0	0	0.005504	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_NKB8J.fsm
1	2	10	2	2	144	244	1	1055	0	0	0.006005	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_NKB8J.fsm
1	2	10	2	2	42	61	9	199	0	0	0.003001	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_qK62k.fsm
1	2	10	2	2	66	130	1	397	0	0	0.005004	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_qK62k.fsm
1	2	10	2	2	135	257	1	950	0	0	0.004503	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_qK62k.fsm
1	2	10	2	2	35	54	8	178	0	0	0.002001	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_WTYjL.fsm
1	2	10	2	2	65	121	1	403	0	0	0.004003	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_WTYjL.fsm
1	2	10	2	2	126	251	1	908	0	0	0.006004	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_WTYjL.fsm
1	2	10	2	2	40	58	7	190	0	0	0.002001	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_XyvOQ.fsm
1	2	10	2	2	89	130	1	507	0	0	0.004503	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_XyvOQ.fsm
1	2	10	2	2	170	258	1	1130	0	0	0.009005	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_XyvOQ.fsm
1	2	10	2	2	42	75	8	243	0	0	0.003002	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_YfxFl.fsm
1	2	10	2	2	66	115	2	418	0	0	0.004003	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_YfxFl.fsm
1	2	10	2	2	128	239	1	943	0	0	0.006004	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_YfxFl.fsm
1	2	10	2	2	34	65	8	173	0	0	0.002502	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_YlOac.fsm
1	2	10	2	2	77	137	2	467	0	0	0.005004	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_YlOac.fsm
1	2	10	2	2	166	274	1	1177	0	0	0.006504	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_YlOac.fsm
1	2	10	2	2	45	61	10	220	0	0	0.004003	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_yZjoV.fsm
1	2	10	2	2	88	130	1	519	0	0	0.008005	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_yZjoV.fsm
1	2	10	2	2	167	250	1	1139	0	0	0.010007	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_yZjoV.fsm
1	2	20	2	2	87	132	14	514	0	0	0.020514	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	178	277	1	1228	0	0	0.035522	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	350	570	1	2783	0	0	0.034022	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	101	150	17	622	0	0	0.023515	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_08i2n.fsm
1	2	20	2	2	178	287	1	1297	0	0	0.030520	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_08i2n.fsm
1	2	20	2	2	353	572	1	2917	0	0	0.038025	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_08i2n.fsm
1	2	20	2	2	91	149	15	564	0	0	0.020014	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_0cQtT.fsm
1	2	20	2	2	183	298	3	1314	0	0	0.037024	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_0cQtT.fsm
1	2	20	2	2	370	619	1	3074	0	0	0.035523	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_0cQtT.fsm
1	2	20	2	2	95	141	19	580	0	0	0.024015	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_0nDie.fsm
1	2	20	2	2	182	302	1	1358	0	0	0.039527	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_0nDie.fsm
1	2	20	2	2	356	610	1	3052	0	0	0.046530	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_0nDie.fsm
1	2	20	2	2	86	149	15	610	0	0	0.023016	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_1ghJc.fsm
1	2	20	2	2	168	299	2	1347	0	0	0.039024	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_1ghJc.fsm
1	2	20	2	2	331	590	1	2961	0	0	0.057038	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_1ghJc.fsm
1	2	20	2	2	94	142	19	586	0	0	0.025518	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_cpNZd.fsm
1	2	20	2	2	165	284	1	1292	0	0	0.036022	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_cpNZd.fsm
1	2	20	2	2	304	555	1	2688	0	0	0.032021	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_cpNZd.fsm
1	2	20	2	2	96	148	17	578	0	0	0.017512	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_h1oFZ.fsm
1	2	20	2	2	210	311	1	1477	0	0	0.030020	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_h1oFZ.fsm
1	2	20	2	2	423	629	1	3420	0	0	0.033522	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_h1oFZ.fsm
1	2	20	2	2	103	167	19	786	0	0	0.021013	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_Op4vV.fsm
1	2	20	2	2	188	302	1	1636	0	0	0.040025	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_Op4vV.fsm
1	2	20	2	2	372	598	1	3688	0	0	0.044029	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_Op4vV.fsm
1	2	20	2	2	98	141	18	577	0	0	0.017512	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_sF0Pv.fsm
1	2	20	2	2	190	306	1	1345	0	0	0.027518	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_sF0Pv.fsm
1	2	20	2	2	362	587	1	2914	0	0	0.031021	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_sF0Pv.fsm
1	2	20	2	2	96	144	17	571	0	0	0.015011	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_VH1mI.fsm
1	2	20	2	2	178	280	1	1245	0	0	0.025517	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_VH1mI.fsm
1	2	20	2	2	343	559	1	2748	0	0	0.029018	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_VH1mI.fsm
1	2	30	2	2	153	230	28	1103	0	0	0.055537	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30.fsm
1	2	30	2	2	304	503	1	2575	0	0	0.103569	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30.fsm
1	2	30	2	2	574	992	1	5471	0	0	0.148098	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30.fsm
1	2	30	2	2	176	284	27	1302	0	0	0.083055	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30_5xfJZ.fsm
1	2	30	2	2	303	558	1	2581	0	0	0.150102	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30_5xfJZ.fsm
1	2	30	2	2	603	1076	1	5761	0	0	0.156102	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30_5xfJZ.fsm
1	2	30	2	2	154	246	25	1047	0	0	0.064543	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30_cstTZ.fsm
1	2	30	2	2	288	492	1	2255	0	0	0.116578	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30_cstTZ.fsm
1	2	30	2	2	579	989	1	5178	0	0	0.122083	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30_cstTZ.fsm
1	2	30	2	2	155	244	28	1145	0	0	0.061541	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30_GHwoR.fsm
1	2	30	2	2	326	497	1	2781	0	0	0.114575	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30_GHwoR.fsm
1	2	30	2	2	657	977	1	6215	0	0	0.124583	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30_GHwoR.fsm
1	2	30	2	2	144	228	23	1039	0	0	0.058038	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30_IMy0N.fsm
1	2	30	2	2	286	510	1	2482	0	0	0.122082	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30_IMy0N.fsm
1	2	30	2	2	553	973	1	5329	0	0	0.147097	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30_IMy0N.fsm
1	2	30	2	2	159	241	28	1119	0	0	0.069045	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30_L8Mmp.fsm
1	2	30	2	2	300	506	1	2597	0	0	0.148599	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30_L8Mmp.fsm
1	2	30	2	2	596	1014	1	5846	0	0	0.161607	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30_L8Mmp.fsm
1	2	30	2	2	147	264	25	1187	0	0	0.077551	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30_LpxHq.fsm
1	2	30	2	2	330	612	1	3304	0	0	0.212140	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30_LpxHq.fsm
1	2	30	2	2	669	1204	1	7367	0	0	0.219647	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30_LpxHq.fsm
1	2	30	2	2	152	236	26	1000	0	0	0.067545	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R30_PKBxh.fsm
1	2	30	2	2	244	532	1	2101	0	0	0.105569	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R30_PKBxh.fsm
1	2	30	2	2	471	1035	1	4554	0	0	0.108571	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R30_PKBxh.fsm
