Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	2	20	2	2	547	547	20	2481	0	0	0.048534	DT		0	TeacherDFSM		Mealy_R20.fsm
0	2	20	2	2	3	7	0	8	0	0	0.005505	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	94	293	0	770	0	0	0.255176	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	567	567	20	2677	0	0	0.127588	DT		0	TeacherDFSM		Mealy_R20_08i2n.fsm
0	2	20	2	2	3	7	0	8	0	0	0.015510	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_08i2n.fsm
1	2	20	2	2	99	333	0	843	0	0	1.308398	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20_08i2n.fsm
1	2	20	2	2	566	566	20	2664	0	0	0.200638	DT		0	TeacherDFSM		Mealy_R20_0cQtT.fsm
0	2	20	2	2	2	4	0	4	0	0	0.010004	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_0cQtT.fsm
0	2	20	2	2	89	257	0	691	0	0	1.602611	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20_0cQtT.fsm
1	2	20	2	2	459	459	17	2293	0	0	0.154111	DT		0	TeacherDFSM		Mealy_R20_0nDie.fsm
0	2	20	2	2	2	4	0	4	0	0	0.009006	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_0nDie.fsm
1	2	20	2	2	83	269	0	673	0	0	1.441985	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20_0nDie.fsm
1	2	20	2	2	454	454	15	2506	0	0	0.124082	DT		0	TeacherDFSM		Mealy_R20_1ghJc.fsm
0	2	20	2	2	2	4	0	4	0	0	0.008006	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_1ghJc.fsm
1	2	20	2	2	82	285	0	732	0	0	1.142773	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20_1ghJc.fsm
1	2	20	2	2	602	602	20	2936	0	0	0.120581	DT		0	TeacherDFSM		Mealy_R20_cpNZd.fsm
0	2	20	2	2	3	7	0	8	0	0	0.016511	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_cpNZd.fsm
1	2	20	2	2	85	309	0	784	0	0	1.174833	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20_cpNZd.fsm
1	2	20	2	2	395	395	16	1885	0	0	0.119581	DT		0	TeacherDFSM		Mealy_R20_h1oFZ.fsm
0	2	20	2	2	4	8	0	10	0	0	0.020514	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_h1oFZ.fsm
1	2	20	2	2	95	299	0	764	0	0	1.250875	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20_h1oFZ.fsm
1	2	20	2	2	717	717	20	4522	0	0	0.146602	DT		0	TeacherDFSM		Mealy_R20_Op4vV.fsm
0	2	20	2	2	4	8	0	10	0	0	0.030021	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_Op4vV.fsm
1	2	20	2	2	120	294	0	1096	0	0	1.588057	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20_Op4vV.fsm
1	2	20	2	2	562	562	20	2591	0	0	0.135591	DT		0	TeacherDFSM		Mealy_R20_sF0Pv.fsm
0	2	20	2	2	3	7	0	8	0	0	0.020014	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_sF0Pv.fsm
1	2	20	2	2	68	290	0	595	0	0	1.240881	OTree	ExtraStates:1	2	TeacherDFSM		Mealy_R20_sF0Pv.fsm
1	2	20	2	2	470	470	18	2184	0	0	0.125584	DT		0	TeacherDFSM		Mealy_R20_VH1mI.fsm
0	2	20	2	2	3	7	0	8	0	0	0.017512	OTree	ExtraStates:0	1	TeacherDFSM		Mealy_R20_VH1mI.fsm
