Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	2	10	2	2	135	135	4	753	0	0	0.000500	L*	addAllPrefixesToS	0	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	108	108	4	522	0	0	0.000501	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	108	108	4	522	0	0	0.000501	L*	addSuffix1by1ToE	2	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	111	111	4	530	0	0	0.000500	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	114	114	4	544	0	0	0.000000	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	213	213	3	1267	0	0	0.001001	OP	AllGlobally	5	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	160	160	4	886	0	0	0.000501	OP	OneGlobally	6	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	132	132	7	711	0	0	0.000500	OP	OneLocally	7	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	189	189	10	740	0	0	0.000499	DT		8	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	98	98	9	431	0	0	0.000000	TTT		9	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	65	65	4	326	0	0	0.000000	Quotient		10	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	73	73	1	375	0	0	0.000500	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	34	60	10	168	0	0	0.000503	OTree	ExtraStates:0+EQ	12	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	50	127	1	324	0	0	0.001501	OTree	ExtraStates:1+EQ	13	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	95	234	1	705	0	0	0.002002	OTree	ExtraStates:2+EQ	14	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	25	68	9	141	0	0	0.003002	SPYlearner	ExtraStates:0+EQ	15	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	57	195	1	425	0	0	0.006005	SPYlearner	ExtraStates:1+EQ	16	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	106	372	1	906	0	0	0.009006	SPYlearner	ExtraStates:2+EQ	17	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	135	135	4	783	0	0	0.000503	L*	addAllPrefixesToS	0	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	108	108	4	552	0	0	0.000499	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	108	108	4	552	0	0	0.000000	L*	addSuffix1by1ToE	2	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	111	111	4	560	0	0	0.000501	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Mealy_R10_0VFLT.fsm
