Correct,FSMtype,States,Inputs,Outputs,Resets,OQs,EQs,symbols,BBresets,BBsymbols,seconds,Algorithm,CEprocessing,AlgId,Teacher,BB,fileName
1,2,10,2,2,34,60,10,168,0,0,0.001001,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10.fsm
1,2,10,2,2,50,127,1,324,0,0,0.0015,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10.fsm
1,2,10,2,2,95,234,1,705,0,0,0.003003,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10.fsm
1,2,10,2,2,37,60,9,192,0,0,0.001001,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_0VFLT.fsm
1,2,10,2,2,47,137,1,331,0,0,0.002002,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_0VFLT.fsm
1,2,10,2,2,89,232,1,695,0,0,0.004003,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_0VFLT.fsm
1,2,10,2,2,36,57,10,191,0,0,0.0005,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_cfetx.fsm
1,2,10,2,2,44,120,1,303,0,0,0.001501,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_cfetx.fsm
1,2,10,2,2,92,217,1,710,0,0,0.002501,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_cfetx.fsm
1,2,10,2,2,30,62,7,168,0,0,0.001001,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_NKB8J.fsm
1,2,10,2,2,39,116,1,266,0,0,0.001501,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_NKB8J.fsm
1,2,10,2,2,87,230,1,680,0,0,0.002501,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_NKB8J.fsm
1,2,10,2,2,34,61,8,170,0,0,0.001002,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_qK62k.fsm
1,2,10,2,2,35,125,1,252,0,0,0.001501,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_qK62k.fsm
1,2,10,2,2,79,232,1,634,0,0,0.002001,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_qK62k.fsm
1,2,10,2,2,30,57,9,158,0,0,0.001001,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_WTYjL.fsm
1,2,10,2,2,47,126,1,310,0,0,0.000999,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_WTYjL.fsm
1,2,10,2,2,90,244,1,684,0,0,0.003002,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_WTYjL.fsm
1,2,10,2,2,34,57,6,167,0,0,0.000502,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_XyvOQ.fsm
1,2,10,2,2,57,132,1,362,0,0,0.001499,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_XyvOQ.fsm
1,2,10,2,2,102,248,1,731,0,0,0.002501,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_XyvOQ.fsm
1,2,10,2,2,40,78,9,241,0,0,0.001501,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_YfxFl.fsm
1,2,10,2,2,47,127,1,324,0,0,0.002002,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_YfxFl.fsm
1,2,10,2,2,99,248,1,758,0,0,0.001999,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_YfxFl.fsm
1,2,10,2,2,31,68,8,165,0,0,0.001002,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_YlOac.fsm
1,2,10,2,2,49,124,2,308,0,0,0.001499,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_YlOac.fsm
1,2,10,2,2,73,255,1,578,0,0,0.002503,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_YlOac.fsm
1,2,10,2,2,41,63,10,209,0,0,0.0015,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R10_yZjoV.fsm
1,2,10,2,2,48,129,2,313,0,0,0.002002,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R10_yZjoV.fsm
1,2,10,2,2,80,251,1,611,0,0,0.002502,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R10_yZjoV.fsm
1,2,20,2,2,83,139,14,506,0,0,0.002502,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20.fsm
1,2,20,2,2,94,293,1,770,0,0,0.005503,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20.fsm
1,2,20,2,2,186,515,1,1650,0,0,0.010007,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20.fsm
1,2,20,2,2,82,148,17,517,0,0,0.004003,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_08i2n.fsm
1,2,20,2,2,99,333,1,843,0,0,0.006004,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_08i2n.fsm
1,2,20,2,2,188,543,1,1708,0,0,0.011508,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_08i2n.fsm
1,2,20,2,2,85,157,15,551,0,0,0.005504,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_0cQtT.fsm
1,2,20,2,2,107,308,2,859,0,0,0.009007,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_0cQtT.fsm
1,2,20,2,2,204,584,1,1838,0,0,0.018011,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_0cQtT.fsm
1,2,20,2,2,85,149,19,534,0,0,0.004503,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_0nDie.fsm
1,2,20,2,2,83,269,1,673,0,0,0.005504,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_0nDie.fsm
1,2,20,2,2,168,513,1,1517,0,0,0.013009,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_0nDie.fsm
1,2,20,2,2,81,147,18,579,0,0,0.005503,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_1ghJc.fsm
1,2,20,2,2,82,285,1,732,0,0,0.006504,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_1ghJc.fsm
1,2,20,2,2,168,514,1,1622,0,0,0.016011,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_1ghJc.fsm
1,2,20,2,2,86,153,17,572,0,0,0.004003,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_cpNZd.fsm
1,2,20,2,2,85,309,1,784,0,0,0.007505,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_cpNZd.fsm
1,2,20,2,2,174,554,1,1733,0,0,0.008006,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_cpNZd.fsm
1,2,20,2,2,80,147,15,508,0,0,0.003003,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_h1oFZ.fsm
1,2,20,2,2,95,299,1,764,0,0,0.005003,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_h1oFZ.fsm
1,2,20,2,2,174,536,1,1542,0,0,0.007504,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_h1oFZ.fsm
1,2,20,2,2,84,160,13,688,0,0,0.003503,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_Op4vV.fsm
1,2,20,2,2,120,294,1,1096,0,0,0.008005,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_Op4vV.fsm
1,2,20,2,2,221,566,1,2309,0,0,0.011008,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_Op4vV.fsm
1,2,20,2,2,87,144,17,520,0,0,0.004503,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_sF0Pv.fsm
1,2,20,2,2,68,290,1,595,0,0,0.007005,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_sF0Pv.fsm
1,2,20,2,2,142,547,1,1341,0,0,0.007505,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_sF0Pv.fsm
1,2,20,2,2,75,140,16,461,0,0,0.002502,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R20_VH1mI.fsm
1,2,20,2,2,87,294,1,736,0,0,0.004001,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R20_VH1mI.fsm
1,2,20,2,2,187,542,1,1732,0,0,0.008506,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R20_VH1mI.fsm
1,2,30,2,2,133,239,26,994,0,0,0.009506,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R30.fsm
1,2,30,2,2,108,437,1,1076,0,0,0.013008,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R30.fsm
1,2,30,2,2,236,853,1,2595,0,0,0.015511,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R30.fsm
1,2,30,2,2,142,271,21,1041,0,0,0.008006,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R30_5xfJZ.fsm
1,2,30,2,2,143,487,1,1374,0,0,0.009506,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R30_5xfJZ.fsm
1,2,30,2,2,283,868,1,2930,0,0,0.016511,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R30_5xfJZ.fsm
1,2,30,2,2,144,264,26,985,0,0,0.006504,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R30_cstTZ.fsm
1,2,30,2,2,142,535,1,1328,0,0,0.013008,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R30_cstTZ.fsm
1,2,30,2,2,274,898,1,2712,0,0,0.019013,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R30_cstTZ.fsm
1,2,30,2,2,139,253,24,1044,0,0,0.006005,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R30_GHwoR.fsm
1,2,30,2,2,142,520,1,1540,0,0,0.010006,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R30_GHwoR.fsm
1,2,30,2,2,275,914,1,3181,0,0,0.019014,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R30_GHwoR.fsm
1,2,30,2,2,126,243,26,940,0,0,0.006004,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R30_IMy0N.fsm
1,2,30,2,2,136,477,1,1292,0,0,0.008506,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R30_IMy0N.fsm
1,2,30,2,2,257,830,1,2633,0,0,0.01551,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R30_IMy0N.fsm
1,2,30,2,2,154,263,25,1138,0,0,0.005503,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R30_L8Mmp.fsm
1,2,30,2,2,163,478,1,1599,0,0,0.009507,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R30_L8Mmp.fsm
1,2,30,2,2,290,841,1,3116,0,0,0.01651,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R30_L8Mmp.fsm
1,2,30,2,2,138,273,24,1126,0,0,0.005503,OTree,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R30_LpxHq.fsm
1,2,30,2,2,164,519,1,1636,0,0,0.010507,OTree,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R30_LpxHq.fsm
1,2,30,2,2,293,859,1,3183,0,0,0.019013,OTree,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R30_LpxHq.fsm
