Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	2	10	2	2	25	68	9	141	0	0	0.003002	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	57	195	1	425	0	0	0.006004	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	106	372	1	906	0	0	0.009506	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	27	78	7	168	0	0	0.004503	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	61	144	1	412	0	0	0.006005	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	127	285	1	979	0	0	0.008004	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_0VFLT.fsm
1	2	10	2	2	22	83	7	151	0	0	0.005504	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_cfetx.fsm
1	2	10	2	2	56	169	1	424	0	0	0.009506	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_cfetx.fsm
1	2	10	2	2	120	309	1	981	0	0	0.018012	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_cfetx.fsm
1	2	10	2	2	26	83	8	182	0	0	0.007505	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_NKB8J.fsm
1	2	10	2	2	61	203	1	484	0	0	0.011012	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_NKB8J.fsm
1	2	10	2	2	142	403	1	1234	0	0	0.017507	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_NKB8J.fsm
1	2	10	2	2	24	81	6	150	0	0	0.005004	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_qK62k.fsm
1	2	10	2	2	74	147	1	490	0	0	0.012508	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_qK62k.fsm
1	2	10	2	2	165	281	1	1225	0	0	0.011509	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_qK62k.fsm
1	2	10	2	2	24	73	8	139	0	0	0.004503	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_WTYjL.fsm
1	2	10	2	2	53	192	1	415	0	0	0.009506	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_WTYjL.fsm
1	2	10	2	2	118	357	1	1002	0	0	0.010006	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_WTYjL.fsm
1	2	10	2	2	27	65	7	156	0	0	0.004503	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_XyvOQ.fsm
1	2	10	2	2	60	174	2	421	0	0	0.017512	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_XyvOQ.fsm
1	2	10	2	2	130	342	1	1017	0	0	0.016511	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_XyvOQ.fsm
1	2	10	2	2	24	85	7	166	0	0	0.008506	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_YfxFl.fsm
1	2	10	2	2	60	230	2	504	0	0	0.019013	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_YfxFl.fsm
1	2	10	2	2	118	407	1	1067	0	0	0.025016	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_YfxFl.fsm
1	2	10	2	2	19	79	4	128	0	0	0.006505	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_YlOac.fsm
1	2	10	2	2	56	146	1	357	0	0	0.008505	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_YlOac.fsm
1	2	10	2	2	121	314	1	918	0	0	0.011508	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_YlOac.fsm
1	2	10	2	2	25	70	7	145	0	0	0.007004	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R10_yZjoV.fsm
1	2	10	2	2	71	162	1	466	0	0	0.011007	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R10_yZjoV.fsm
1	2	10	2	2	142	280	1	1026	0	0	0.019513	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R10_yZjoV.fsm
1	2	20	2	2	60	199	8	454	0	0	0.026518	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	140	422	1	1211	0	0	0.049033	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	303	778	1	2860	0	0	0.067044	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20.fsm
1	2	20	2	2	65	188	10	465	0	0	0.033023	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_08i2n.fsm
1	2	20	2	2	140	463	1	1266	0	0	0.044530	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_08i2n.fsm
1	2	20	2	2	308	873	1	2979	0	0	0.055536	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_08i2n.fsm
1	2	20	2	2	54	198	11	421	0	0	0.030520	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_0cQtT.fsm
1	2	20	2	2	132	356	3	1069	0	0	0.033022	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_0cQtT.fsm
1	2	20	2	2	308	731	1	2808	0	0	0.047031	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_0cQtT.fsm
1	2	20	2	2	59	196	9	475	0	0	0.026518	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_0nDie.fsm
1	2	20	2	2	127	390	1	1090	0	0	0.035524	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_0nDie.fsm
1	2	20	2	2	276	757	1	2603	0	0	0.045530	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_0nDie.fsm
1	2	20	2	2	55	202	9	456	0	0	0.027518	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_1ghJc.fsm
1	2	20	2	2	126	473	2	1277	0	0	0.036024	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_1ghJc.fsm
1	2	20	2	2	290	819	1	3052	0	0	0.054036	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_1ghJc.fsm
1	2	20	2	2	69	186	13	493	0	0	0.022014	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_cpNZd.fsm
1	2	20	2	2	146	465	1	1387	0	0	0.039526	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_cpNZd.fsm
1	2	20	2	2	318	891	1	3260	0	0	0.058540	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_cpNZd.fsm
1	2	20	2	2	62	153	13	423	0	0	0.018513	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_h1oFZ.fsm
1	2	20	2	2	149	412	1	1248	0	0	0.032021	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_h1oFZ.fsm
1	2	20	2	2	329	799	1	3054	0	0	0.043031	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_h1oFZ.fsm
1	2	20	2	2	59	191	11	507	0	0	0.024517	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_Op4vV.fsm
1	2	20	2	2	150	563	2	1603	0	0	0.063542	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_Op4vV.fsm
1	2	20	2	2	271	931	1	3076	0	0	0.082556	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_Op4vV.fsm
1	2	20	2	2	63	164	10	427	0	0	0.018513	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_sF0Pv.fsm
1	2	20	2	2	134	410	1	1133	0	0	0.027521	SPYlearner	ExtraStates:1+EQ	1	TeacherDFSM		Mealy_R20_sF0Pv.fsm
1	2	20	2	2	294	760	1	2699	0	0	0.045029	SPYlearner	ExtraStates:2+EQ	2	TeacherDFSM		Mealy_R20_sF0Pv.fsm
1	2	20	2	2	60	178	12	420	0	0	0.028019	SPYlearner	ExtraStates:0+EQ	0	TeacherDFSM		Mealy_R20_VH1mI.fsm
