Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	2	10	2	2	125	125	3	875	0	0	0.001001	L*	addAllPrefixesToS	0	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	108	108	4	670	0	0	0.000501	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	105	105	4	649	0	0	0.000500	L*	addSuffix1by1ToE	2	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	111	111	4	682	0	0	0.000500	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	116	116	4	719	0	0	0.000501	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	167	167	2	1194	0	0	0.001000	OP	AllGlobally	5	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	158	158	4	1002	0	0	0.001001	OP	OneGlobally	6	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	135	135	7	832	0	0	0.001001	OP	OneLocally	7	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	234	234	10	1174	0	0	0.000500	DT		8	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	104	104	9	592	0	0	0.000501	TTT		9	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	64	64	4	386	0	0	0.001001	Quotient		10	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	143	143	2	1005	0	0	0.001502	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	55	128	2	402	0	0	0.003002	OTree	ExtraStates:1+EQ	12	TeacherDFSM		Mealy_R10.fsm
1	2	10	2	2	125	125	3	875	0	0	0.000500	L*	addAllPrefixesToS	0	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	108	108	4	670	0	0	0.000500	L*	addAllSuffixesAfterLastStateToE	1	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	105	105	4	649	0	0	0.000500	L*	addSuffix1by1ToE	2	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	111	111	4	682	0	0	0.000501	L*	addSuffixAfterLastStateToE	3	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	116	116	4	719	0	0	0.000000	L*	addSuffixToE_binarySearch	4	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	170	170	2	1214	0	0	0.001001	OP	AllGlobally	5	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	158	158	4	1002	0	0	0.000500	OP	OneGlobally	6	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	135	135	7	832	0	0	0.000501	OP	OneLocally	7	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	234	234	10	1174	0	0	0.000500	DT		8	TeacherRL		Mealy_R10.fsm
1	2	10	2	2	104	104	9	592	0	0	0.000500	TTT		9	TeacherRL		Mealy_R10.fsm
