FSMtype States  Inputs  Outputs ES      H       H-indist        SPY     SPY-indist      fileName
2       10      20      2       0       2142    0       2195    0       Mealy_R10.fsm
2       10      20      2       1       43823   0       54560   0       Mealy_R10.fsm
2       10      20      2       0       2097    0       2043    0       Mealy_R10_0OxFo.fsm
2       10      20      2       1       49084   0       50492   0       Mealy_R10_0OxFo.fsm
2       10      20      2       0       1782    0       2173    0       Mealy_R10_dkGGQ.fsm
2       10      20      2       1       41782   0       54430   0       Mealy_R10_dkGGQ.fsm
2       10      20      2       0       1736    0       1926    0       Mealy_R10_G9Dfu.fsm
2       10      20      2       1       42835   0       48690   0       Mealy_R10_G9Dfu.fsm
2       10      20      2       0       1954    0       2152    0       Mealy_R10_gYxaD.fsm
2       10      20      2       1       48240   0       53534   0       Mealy_R10_gYxaD.fsm
2       10      20      2       0       2129    0       2070    0       Mealy_R10_mAbFy.fsm
2       10      20      2       1       48413   0       50763   0       Mealy_R10_mAbFy.fsm
2       10      20      2       0       1928    0       2128    0       Mealy_R10_niDjy.fsm
2       10      20      2       1       40710   0       53214   0       Mealy_R10_niDjy.fsm
2       10      20      2       0       2096    0       2022    0       Mealy_R10_TGTFu.fsm
2       10      20      2       1       43976   0       50036   0       Mealy_R10_TGTFu.fsm
2       10      20      2       0       1949    0       1942    0       Mealy_R10_u8F1a.fsm
2       10      20      2       1       42099   0       48565   0       Mealy_R10_u8F1a.fsm
2       10      20      2       0       2003    0       2097    0       Mealy_R10_xeB1e.fsm
2       10      20      2       1       46101   0       52509   0       Mealy_R10_xeB1e.fsm
2       20      40      2       0       10139   0       11363   0       Mealy_R20.fsm
2       20      40      2       1       478577  0       577252  0       Mealy_R20.fsm
2       20      40      2       0       9599    0       11513   0       Mealy_R20_ASvd8.fsm
2       20      40      2       1       440846  0       580757  0       Mealy_R20_ASvd8.fsm
2       20      40      2       0       11794   0       11556   0       Mealy_R20_hbpBT.fsm
2       20      40      2       1       489584  0       596102  0       Mealy_R20_hbpBT.fsm
2       20      40      2       0       11070   0       11660   0       Mealy_R20_mAJrF.fsm
2       20      40      2       1       511297  0       589514  0       Mealy_R20_mAJrF.fsm
2       20      40      2       0       11081   0       11431   0       Mealy_R20_NUUeq.fsm
2       20      40      2       1       492262  0       582564  0       Mealy_R20_NUUeq.fsm
2       20      40      2       0       11644   0       11788   0       Mealy_R20_P0mhD.fsm
2       20      40      2       1       506623  0       594326  0       Mealy_R20_P0mhD.fsm
2       20      40      2       0       10055   0       11452   0       Mealy_R20_SFeI0.fsm
2       20      40      2       1       472489  0       580134  0       Mealy_R20_SFeI0.fsm
2       20      40      2       0       11406   0       11366   0       Mealy_R20_stMgc.fsm
2       20      40      2       1       538070  0       575062  0       Mealy_R20_stMgc.fsm
2       20      40      2       0       10487   0       11588   0       Mealy_R20_wmCFi.fsm
2       20      40      2       1       488502  0       582599  0       Mealy_R20_wmCFi.fsm
2       20      40      2       0       11126   0       11459   0       Mealy_R20_ZdlKK.fsm
2       20      40      2       1       510292  0       589851  0       Mealy_R20_ZdlKK.fsm
2       30      60      2       0       28984   0       29504   0       Mealy_R30.fsm
2       30      60      2       1       1879539 0       2269596 0       Mealy_R30.fsm
2       30      60      2       0       28234   0       28946   0       Mealy_R30_2s9ei.fsm
2       30      60      2       1       1868288 0       2247446 0       Mealy_R30_2s9ei.fsm
2       30      60      2       0       27531   0       30476   0       Mealy_R30_5KJQC.fsm
2       30      60      2       1       1956311 0
