Correct,FSMtype,States,Inputs,Outputs,Resets,OQs,EQs,symbols,BBresets,BBsymbols,seconds,Algorithm,CEprocessing,AlgId,Teacher,BB,fileName
1,4,664,32,2,2031058,2031058,68,27197848,0,0,99.470765,L*,addAllPrefixesToS,0,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,3081168,3081168,64,44159850,0,0,49.445768,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,1551177,1551177,69,18642187,0,0,72.960495,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,1508894,1508894,69,18086854,0,0,47.259548,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,1508956,1508956,69,18087087,0,0,45.811796,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,7335188,7335188,36,124503579,0,0,24.491838,OP,AllGlobally,5,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,1619814,1619814,41,20895922,0,0,4.236354,OP,OneGlobally,6,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,779448,779448,399,9056545,0,0,2.392125,OP,OneLocally,7,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,151821,151821,661,1568004,0,0,1.250058,DT,,8,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,73523,73523,580,827059,0,0,2.230716,TTT,,9,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,1385800,1385800,41,18178146,0,0,51.148997,Quotient,,10,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,718433,1455712,8,8709254,0,0,36359.83529,OTree,ExtraStates:1+EQ,11,TeacherDFSM,,DFA_R664_pots2.fsm
1,4,664,32,2,2138390,2138390,72,28629860,0,0,83.243166,L*,addAllPrefixesToS,0,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,3102418,3102418,65,44414579,0,0,41.765299,L*,addAllSuffixesAfterLastStateToE,1,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,1551177,1551177,69,18642187,0,0,65.377506,L*,addSuffix1by1ToE,2,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,1508894,1508894,69,18086854,0,0,43.482925,L*,addSuffixAfterLastStateToE,3,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,1508956,1508956,69,18087087,0,0,43.800854,L*,addSuffixToE_binarySearch,4,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,7611924,7611924,38,129437737,0,0,9.362165,OP,AllGlobally,5,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,1619814,1619814,41,20895922,0,0,2.425655,OP,OneGlobally,6,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,779505,779505,399,9057181,0,0,1.708234,OP,OneLocally,7,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,152160,152160,663,1571082,0,0,1.102915,DT,,8,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,73537,73537,581,827176,0,0,1.604226,TTT,,9,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,1385800,5184420,41,18178146,0,0,47.513853,Quotient,,10,TeacherRL,,DFA_R664_pots2.fsm
1,4,664,32,2,718433,1455712,8,8709254,0,0,38639.07506,OTree,ExtraStates:1+EQ,11,TeacherRL,,DFA_R664_pots2.fsm
