Correct,FSMtype,States,Inputs,Outputs,Resets,OQs,EQs,symbols,BBresets,BBsymbols,seconds,Algorithm,CEprocessing,AlgId,Teacher,BB,fileName
0,4,50,18,2,36,37,0,54,0,0,0,SPYlearner,ExtraStates:0+EQ,0,TeacherDFSM,,DFA_R50_peterson2.fsm
1,4,50,18,2,17078,17302,0,129532,0,0,18.547378,SPYlearner,ExtraStates:1+EQ,1,TeacherDFSM,,DFA_R50_peterson2.fsm
1,4,50,18,2,293439,293816,0,2495242,0,0,28.324876,SPYlearner,ExtraStates:2+EQ,2,TeacherDFSM,,DFA_R50_peterson2.fsm
0,4,97,12,2,24,25,0,36,0,0,0,SPYlearner,ExtraStates:0+EQ,0,TeacherDFSM,,DFA_R97_sched4.fsm
1,4,97,12,2,16498,17106,0,207606,0,0,35.058552,SPYlearner,ExtraStates:1+EQ,1,TeacherDFSM,,DFA_R97_sched4.fsm
1,4,97,12,2,172412,173577,0,2297891,0,0,48.35058,SPYlearner,ExtraStates:2+EQ,2,TeacherDFSM,,DFA_R97_sched4.fsm
0,1,10,5,4,15,16,0,25,0,0,0,SPYlearner,ExtraStates:0+EQ,0,TeacherDFSM,,DFSM_R10_GW_L.fsm
1,1,10,5,4,404,582,0,2393,0,0,0.010507,SPYlearner,ExtraStates:1+EQ,1,TeacherDFSM,,DFSM_R10_GW_L.fsm
1,1,10,5,4,1938,2906,0,13820,0,0,0.036527,SPYlearner,ExtraStates:2+EQ,2,TeacherDFSM,,DFSM_R10_GW_L.fsm
0,1,25,5,5,5,6,0,5,0,0,0,SPYlearner,ExtraStates:0+EQ,0,TeacherDFSM,,DFSM_R25_GW.fsm
1,1,25,5,5,1306,2031,0,7574,0,0,0.070547,SPYlearner,ExtraStates:1+EQ,1,TeacherDFSM,,DFSM_R25_GW.fsm
1,1,25,5,5,6607,10113,0,44831,0,0,0.295195,SPYlearner,ExtraStates:2+EQ,2,TeacherDFSM,,DFSM_R25_GW.fsm
0,2,14,14,2,14,14,0,14,0,0,0,SPYlearner,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R14_cvs.fsm
1,2,14,14,2,15814,18506,0,102781,0,0,2.304029,SPYlearner,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R14_cvs.fsm
1,2,14,14,2,227591,260142,0,1695804,0,0,9.150856,SPYlearner,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R14_cvs.fsm
0,2,2,2,3,2,2,0,2,0,0,0,SPYlearner,ExtraStates:0+EQ,0,TeacherDFSM,,Mealy_R2_turnstile.fsm
1,2,2,2,3,13,16,0,36,0,0,0,SPYlearner,ExtraStates:1+EQ,1,TeacherDFSM,,Mealy_R2_turnstile.fsm
1,2,2,2,3,25,34,0,92,0,0,0.0005,SPYlearner,ExtraStates:2+EQ,2,TeacherDFSM,,Mealy_R2_turnstile.fsm
