Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	4	241	15	2	0	7139	241853	0.117077	TS	H-method	0	DFA_R241_sched5.fsm
0	4	241	15	2	0	6516	223588	0.092055	TS	SPY-method	1	DFA_R241_sched5.fsm
0	4	241	15	2	0	6394	219684	2.118409	TS	SPYH-method	2	DFA_R241_sched5.fsm
0	4	241	15	2	1	58590	2007944	0.372248	TS	H-method	0	DFA_R241_sched5.fsm
0	4	241	15	2	1	47513	1634399	0.426285	TS	SPY-method	1	DFA_R241_sched5.fsm
0	4	241	15	2	1	53632	1828266	5.158425	TS	SPYH-method	2	DFA_R241_sched5.fsm
0	4	241	15	2	2	777722	27650142	4.542015	TS	H-method	0	DFA_R241_sched5.fsm
0	4	241	15	2	2	672136	23999404	6.074033	TS	SPY-method	1	DFA_R241_sched5.fsm
0	4	241	15	2	2	752796	26804806	35.892835	TS	SPYH-method	2	DFA_R241_sched5.fsm
0	4	50	18	2	0	992	14508	0.005002	TS	H-method	0	DFA_R50_peterson2.fsm
0	4	50	18	2	0	1177	18545	0.006004	TS	SPY-method	1	DFA_R50_peterson2.fsm
0	4	50	18	2	0	904	12946	0.028018	TS	SPYH-method	2	DFA_R50_peterson2.fsm
0	4	50	18	2	1	15504	248024	0.036023	TS	H-method	0	DFA_R50_peterson2.fsm
0	4	50	18	2	1	14892	244290	0.053033	TS	SPY-method	1	DFA_R50_peterson2.fsm
0	4	50	18	2	1	15005	243197	0.159106	TS	SPYH-method	2	DFA_R50_peterson2.fsm
0	4	50	18	2	2	276068	4955342	0.777515	TS	H-method	0	DFA_R50_peterson2.fsm
0	4	50	18	2	2	261898	4770166	1.486985	TS	SPY-method	1	DFA_R50_peterson2.fsm
0	4	50	18	2	2	269543	4913007	2.676778	TS	SPYH-method	2	DFA_R50_peterson2.fsm
0	4	97	12	2	0	1908	49030	0.022014	TS	H-method	0	DFA_R97_sched4.fsm
0	4	97	12	2	0	1869	49651	0.020013	TS	SPY-method	1	DFA_R97_sched4.fsm
0	4	97	12	2	0	1646	43084	0.194129	TS	SPYH-method	2	DFA_R97_sched4.fsm
0	4	97	12	2	1	14482	381076	0.085059	TS	H-method	0	DFA_R97_sched4.fsm
0	4	97	12	2	1	12083	322807	0.073050	TS	SPY-method	1	DFA_R97_sched4.fsm
0	4	97	12	2	1	13132	345172	0.405270	TS	SPYH-method	2	DFA_R97_sched4.fsm
0	4	97	12	2	2	156885	4366507	0.661443	TS	H-method	0	DFA_R97_sched4.fsm
0	4	97	12	2	2	137602	3867780	0.907604	TS	SPY-method	1	DFA_R97_sched4.fsm
0	4	97	12	2	2	151857	4252637	3.264167	TS	SPYH-method	2	DFA_R97_sched4.fsm
0	1	10	5	4	0	66	700	0.000000	TS	H-method	0	DFSM_R10_GW_L.fsm
0	1	10	5	4	0	43	571	0.000000	TS	SPY-method	1	DFSM_R10_GW_L.fsm
0	1	10	5	4	0	31	413	0.001000	TS	SPYH-method	2	DFSM_R10_GW_L.fsm
0	1	10	5	4	1	265	3507	0.001001	TS	H-method	0	DFSM_R10_GW_L.fsm
0	1	10	5	4	1	186	3246	0.002003	TS	SPY-method	1	DFSM_R10_GW_L.fsm
0	1	10	5	4	1	172	2626	0.005003	TS	SPYH-method	2	DFSM_R10_GW_L.fsm
0	1	10	5	4	2	1325	20165	0.005004	TS	H-method	0	DFSM_R10_GW_L.fsm
0	1	10	5	4	2	862	17978	0.027019	TS	SPY-method	1	DFSM_R10_GW_L.fsm
0	1	10	5	4	2	927	16529	0.026017	TS	SPYH-method	2	DFSM_R10_GW_L.fsm
0	1	25	5	5	0	211	2371	0.001000	TS	H-method	0	DFSM_R25_GW.fsm
0	1	25	5	5	0	161	2179	0.001001	TS	SPY-method	1	DFSM_R25_GW.fsm
0	1	25	5	5	0	109	1449	0.007004	TS	SPYH-method	2	DFSM_R25_GW.fsm
0	1	25	5	5	1	771	10783	0.004006	TS	H-method	0	DFSM_R25_GW.fsm
0	1	25	5	5	1	691	11701	0.010007	TS	SPY-method	1	DFSM_R25_GW.fsm
0	1	25	5	5	1	484	7338	0.028018	TS	SPYH-method	2	DFSM_R25_GW.fsm
0	1	25	5	5	2	3415	56043	0.021014	TS	H-method	0	DFSM_R25_GW.fsm
0	1	25	5	5	2	3173	64237	0.110074	TS	SPY-method	1	DFSM_R25_GW.fsm
0	1	25	5	5	2	2603	44453	0.183120	TS	SPYH-method	2	DFSM_R25_GW.fsm
0	2	14	14	2	0	745	4592	0.002001	TS	H-method	0	Mealy_R14_cvs.fsm
0	2	14	14	2	0	211	2617	0.006005	TS	SPY-method	1	Mealy_R14_cvs.fsm
0	2	14	14	2	0	167	1176	0.006004	TS	SPYH-method	2	Mealy_R14_cvs.fsm
0	2	14	14	2	1	9943	73510	0.036023	TS	H-method	0	Mealy_R14_cvs.fsm
0	2	14	14	2	1	4266	48926	0.480320	TS	SPY-method	1	Mealy_R14_cvs.fsm
0	2	14	14	2	1	3084	21759	0.098065	TS	SPYH-method	2	Mealy_R14_cvs.fsm
0	2	14	14	2	2	111419	1031176	0.550364	TS	H-method	0	Mealy_R14_cvs.fsm
0	2	14	14	2	2	66737	801899	160.976588	TS	SPY-method	1	Mealy_R14_cvs.fsm
0	2	14	14	2	2	43508	351662	11.623716	TS	SPYH-method	2	Mealy_R14_cvs.fsm
0	2	2	2	3	0	3	8	0.000000	TS	H-method	0	Mealy_R2_turnstile.fsm
0	2	2	2	3	0	3	8	0.000000	TS	SPY-method	1	Mealy_R2_turnstile.fsm
0	2	2	2	3	0	3	8	0.000000	TS	SPYH-method	2	Mealy_R2_turnstile.fsm
0	2	2	2	3	1	6	22	0.000000	TS	H-method	0	Mealy_R2_turnstile.fsm
0	2	2	2	3	1	5	20	0.000000	TS	SPY-method	1	Mealy_R2_turnstile.fsm
0	2	2	2	3	1	5	20	0.000000	TS	SPYH-method	2	Mealy_R2_turnstile.fsm
0	2	2	2	3	2	12	56	0.000000	TS	H-method	0	Mealy_R2_turnstile.fsm
0	2	2	2	3	2	8	46	0.000000	TS	SPY-method	1	Mealy_R2_turnstile.fsm
0	2	2	2	3	2	9	50	0.000000	TS	SPYH-method	2	Mealy_R2_turnstile.fsm
