Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	4	241	15	2	82099	82099	13	1391831	0	0	0.988721	L*	addAllPrefixesToS	0	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	72338	72338	19	1181038	0	0	0.779566	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	72320	72320	20	1180884	0	0	0.963692	L*	addSuffix1by1ToE	2	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	72358	72358	20	1181188	0	0	0.985532	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	72400	72400	20	1181625	0	0	0.834902	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	271345	271345	5	5900884	0	0	1.152820	OP	AllGlobally	5	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	83321	83321	5	1378535	0	0	0.255180	OP	OneGlobally	6	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	69127	69127	50	1121593	0	0	0.255181	OP	OneLocally	7	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	47162	47162	240	602637	0	0	0.269195	DT		8	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	12496	12496	235	204987	0	0	0.342243	TTT		9	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	65941	65941	5	1136817	0	0	0.706530	Quotient		10	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	725601	725601	2	12166066	0	0	637.063340	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	55969	111657	1	964842	0	0	135.020638	OTree	ExtraStates:1+EQ	12	TeacherDFSM		DFA_R241_sched5.fsm
1	4	241	15	2	82099	82099	13	1391831	0	0	1.067809	L*	addAllPrefixesToS	0	TeacherRL		DFA_R241_sched5.fsm
1	4	241	15	2	72338	72338	19	1181038	0	0	0.864653	L*	addAllSuffixesAfterLastStateToE	1	TeacherRL		DFA_R241_sched5.fsm
1	4	241	15	2	72320	72320	20	1180884	0	0	0.860200	L*	addSuffix1by1ToE	2	TeacherRL		DFA_R241_sched5.fsm
1	4	241	15	2	72358	72358	20	1181188	0	0	0.663473	L*	addSuffixAfterLastStateToE	3	TeacherRL		DFA_R241_sched5.fsm
1	4	241	15	2	72400	72400	20	1181625	0	0	0.637195	L*	addSuffixToE_binarySearch	4	TeacherRL		DFA_R241_sched5.fsm
1	4	241	15	2	271345	271345	5	5900884	0	0	0.395807	OP	AllGlobally	5	TeacherRL		DFA_R241_sched5.fsm
1	4	241	15	2	83321	83321	5	1378535	0	0	0.148607	OP	OneGlobally	6	TeacherRL		DFA_R241_sched5.fsm
1	4	241	15	2	69127	69127	50	1121593	0	0	0.161188	OP	OneLocally	7	TeacherRL		DFA_R241_sched5.fsm
