Correct;#Resets;#OQs;#EQs;#symbols;fileName;Algorithm;CEprocessing;Teacher;BB;
1;114;228;2;422;../data/examples/DFSM_R5_PDS.fsm;L*;addAllPrefixesToS;TeacherDFSM;;
1;100;198;3;337;../data/examples/DFSM_R5_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherDFSM;;
1;96;192;3;326;../data/examples/DFSM_R5_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherDFSM;;
1;96;192;3;326;../data/examples/DFSM_R5_PDS.fsm;L*;addSuffix1by1ToE;TeacherDFSM;;
1;77;132;4;226;../data/examples/DFSM_R5_PDS.fsm;DT;;TeacherDFSM;;
1;171;338;3;779;../data/examples/DFSM_R5_PDS.fsm;OP;AllGlobally;TeacherDFSM;;
1;127;248;3;501;../data/examples/DFSM_R5_PDS.fsm;OP;OneGlobally;TeacherDFSM;;
1;109;212;3;417;../data/examples/DFSM_R5_PDS.fsm;OP;OneLocally;TeacherDFSM;;
1;57;115;2;250;../data/examples/DFSM_R5_PDS.fsm;Quotient;;TeacherDFSM;;
1;114;228;2;422;../data/examples/DFSM_R5_PDS.fsm;L*;addAllPrefixesToS;TeacherRL;;
1;100;198;3;337;../data/examples/DFSM_R5_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherRL;;
1;96;192;3;326;../data/examples/DFSM_R5_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherRL;;
1;96;192;3;326;../data/examples/DFSM_R5_PDS.fsm;L*;addSuffix1by1ToE;TeacherRL;;
1;77;132;4;226;../data/examples/DFSM_R5_PDS.fsm;DT;;TeacherRL;;
1;171;338;3;779;../data/examples/DFSM_R5_PDS.fsm;OP;AllGlobally;TeacherRL;;
1;127;248;3;501;../data/examples/DFSM_R5_PDS.fsm;OP;OneGlobally;TeacherRL;;
1;109;212;3;417;../data/examples/DFSM_R5_PDS.fsm;OP;OneLocally;TeacherRL;;
1;114;290;2;499;../data/examples/DFSM_R5_PDS.fsm;Quotient;;TeacherRL;;
1;294;300;3;875;../data/examples/DFSM_R5_PDS.fsm;L*;addAllPrefixesToS;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;244;198;3;849;../data/examples/DFSM_R5_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;256;224;3;849;../data/examples/DFSM_R5_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;256;224;3;849;../data/examples/DFSM_R5_PDS.fsm;L*;addSuffix1by1ToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;230;135;4;856;../data/examples/DFSM_R5_PDS.fsm;DT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;323;370;2;892;../data/examples/DFSM_R5_PDS.fsm;OP;AllGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;272;250;3;875;../data/examples/DFSM_R5_PDS.fsm;OP;OneGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;254;214;3;867;../data/examples/DFSM_R5_PDS.fsm;OP;OneLocally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;193;115;2;851;../data/examples/DFSM_R5_PDS.fsm;Quotient;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
