Correct;#Resets;#OQs;#EQs;#symbols;fileName;Algorithm;CEprocessing;Teacher;BB;
1;95;95;2;358;../data/examples/Mealy_R5.fsm;L*;addAllPrefixesToS;TeacherDFSM;;
1;82;82;3;284;../data/examples/Mealy_R5.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherDFSM;;
1;80;80;3;277;../data/examples/Mealy_R5.fsm;L*;addSuffix1by1ToE;TeacherDFSM;;
1;84;84;3;288;../data/examples/Mealy_R5.fsm;L*;addSuffixAfterLastStateToE;TeacherDFSM;;
1;85;85;3;292;../data/examples/Mealy_R5.fsm;L*;addSuffixToE_binarySearch;TeacherDFSM;;
1;70;70;5;204;../data/examples/Mealy_R5.fsm;DT;;TeacherDFSM;;
1;150;150;3;706;../data/examples/Mealy_R5.fsm;OP;AllGlobally;TeacherDFSM;;
1;106;106;3;428;../data/examples/Mealy_R5.fsm;OP;OneGlobally;TeacherDFSM;;
1;89;89;3;346;../data/examples/Mealy_R5.fsm;OP;OneLocally;TeacherDFSM;;
1;55;55;5;169;../data/examples/Mealy_R5.fsm;TTT;;TeacherDFSM;;
1;63;63;3;219;../data/examples/Mealy_R5.fsm;Quotient;;TeacherDFSM;;
1;128;128;0;557;../data/examples/Mealy_R5.fsm;GoodSplit;distinguishing length of 2;TeacherDFSM;;
1;78;137;0;346;../data/examples/Mealy_R5.fsm;OTree;1 extra states;TeacherDFSM;;
1;95;95;2;358;../data/examples/Mealy_R5.fsm;L*;addAllPrefixesToS;TeacherRL;;
1;82;82;3;284;../data/examples/Mealy_R5.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherRL;;
1;80;80;3;277;../data/examples/Mealy_R5.fsm;L*;addSuffix1by1ToE;TeacherRL;;
1;84;84;3;288;../data/examples/Mealy_R5.fsm;L*;addSuffixAfterLastStateToE;TeacherRL;;
1;85;85;3;292;../data/examples/Mealy_R5.fsm;L*;addSuffixToE_binarySearch;TeacherRL;;
1;70;70;5;204;../data/examples/Mealy_R5.fsm;DT;;TeacherRL;;
1;150;150;3;706;../data/examples/Mealy_R5.fsm;OP;AllGlobally;TeacherRL;;
1;106;106;3;428;../data/examples/Mealy_R5.fsm;OP;OneGlobally;TeacherRL;;
1;89;89;3;346;../data/examples/Mealy_R5.fsm;OP;OneLocally;TeacherRL;;
1;55;55;5;169;../data/examples/Mealy_R5.fsm;TTT;;TeacherRL;;
1;63;133;3;219;../data/examples/Mealy_R5.fsm;Quotient;;TeacherRL;;
1;136;136;0;538;../data/examples/Mealy_R5.fsm;GoodSplit;distinguishing length of 2;TeacherRL;;
1;78;137;0;346;../data/examples/Mealy_R5.fsm;OTree;1 extra states;TeacherRL;;
1;361;155;3;639;../data/examples/Mealy_R5.fsm;L*;addAllPrefixesToS;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;288;82;3;600;../data/examples/Mealy_R5.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;286;80;3;600;../data/examples/Mealy_R5.fsm;L*;addSuffix1by1ToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;290;84;3;600;../data/examples/Mealy_R5.fsm;L*;addSuffixAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;292;86;3;600;../data/examples/Mealy_R5.fsm;L*;addSuffixToE_binarySearch;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;291;70;5;598;../data/examples/Mealy_R5.fsm;DT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;308;120;2;631;../data/examples/Mealy_R5.fsm;OP;AllGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;313;107;3;621;../data/examples/Mealy_R5.fsm;OP;OneGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;296;90;3;610;../data/examples/Mealy_R5.fsm;OP;OneLocally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;283;62;5;598;../data/examples/Mealy_R5.fsm;TTT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;270;64;3;600;../data/examples/Mealy_R5.fsm;Quotient;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;131;131;0;140;../data/examples/Mealy_R5.fsm;GoodSplit;distinguishing length of 2;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;78;137;0;137;../data/examples/Mealy_R5.fsm;OTree;1 extra states;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
