Correct;#Resets;#OQs;#EQs;#symbols;fileName;Algorithm;CEprocessing;Teacher;BB;
1;5196;10392;10;40742;../data/tests/sequences/Moore_R100.fsm;L*;addAllPrefixesToS;TeacherDFSM;;
1;4030;8051;10;27504;../data/tests/sequences/Moore_R100.fsm;L*;addSuffixAfterLastStateToE;TeacherDFSM;;
1;4010;8020;9;27816;../data/tests/sequences/Moore_R100.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherDFSM;;
1;4010;8020;10;27415;../data/tests/sequences/Moore_R100.fsm;L*;addSuffix1by1ToE;TeacherDFSM;;
1;4027;8054;10;27494;../data/tests/sequences/Moore_R100.fsm;L*;addSuffixToE_binarySearch;TeacherDFSM;;
1;3207;6415;65;18644;../data/tests/sequences/Moore_R100.fsm;DT;;TeacherDFSM;;
1;5692;11379;2;38309;../data/tests/sequences/Moore_R100.fsm;OP;AllGlobally;TeacherDFSM;;
1;5708;11406;6;36662;../data/tests/sequences/Moore_R100.fsm;OP;OneGlobally;TeacherDFSM;;
1;3982;7932;28;24080;../data/tests/sequences/Moore_R100.fsm;OP;OneLocally;TeacherDFSM;;
1;3006;6013;6;21280;../data/tests/sequences/Moore_R100.fsm;Quotient;;TeacherDFSM;;
1;5196;10392;10;40742;../data/tests/sequences/Moore_R100.fsm;L*;addAllPrefixesToS;TeacherRL;;
1;4030;8051;10;27504;../data/tests/sequences/Moore_R100.fsm;L*;addSuffixAfterLastStateToE;TeacherRL;;
1;4010;8020;9;27816;../data/tests/sequences/Moore_R100.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherRL;;
1;4010;8020;10;27415;../data/tests/sequences/Moore_R100.fsm;L*;addSuffix1by1ToE;TeacherRL;;
1;4027;8054;10;27494;../data/tests/sequences/Moore_R100.fsm;L*;addSuffixToE_binarySearch;TeacherRL;;
1;3207;6415;65;18644;../data/tests/sequences/Moore_R100.fsm;DT;;TeacherRL;;
1;8128;16251;3;60584;../data/tests/sequences/Moore_R100.fsm;OP;AllGlobally;TeacherRL;;
1;5708;11406;6;36662;../data/tests/sequences/Moore_R100.fsm;OP;OneGlobally;TeacherRL;;
1;3982;7932;28;24080;../data/tests/sequences/Moore_R100.fsm;OP;OneLocally;TeacherRL;;
1;6012;15237;6;42559;../data/tests/sequences/Moore_R100.fsm;Quotient;;TeacherRL;;
1;14883;7794;7;77479;../data/tests/sequences/Moore_R100.fsm;L*;addAllPrefixesToS;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;14416;5632;7;74942;../data/tests/sequences/Moore_R100.fsm;L*;addSuffixAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;14109;6416;2;74381;../data/tests/sequences/Moore_R100.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;17171;10426;9;73609;../data/tests/sequences/Moore_R100.fsm;L*;addSuffix1by1ToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;15594;7272;9;73610;../data/tests/sequences/Moore_R100.fsm;L*;addSuffixToE_binarySearch;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;22700;5955;60;71575;../data/tests/sequences/Moore_R100.fsm;DT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;19568;17009;2;77720;../data/tests/sequences/Moore_R100.fsm;OP;AllGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;17591;11412;6;73853;../data/tests/sequences/Moore_R100.fsm;OP;OneGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;20595;7740;20;73198;../data/tests/sequences/Moore_R100.fsm;OP;OneLocally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;14724;5759;6;73195;../data/tests/sequences/Moore_R100.fsm;Quotient;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
