Correct;#Resets;#OQs;#EQs;#symbols;fileName;Algorithm;CEprocessing;Teacher;BB;
1;456;456;5;2598;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllPrefixesToS;TeacherDFSM;;
1;335;335;8;1346;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherDFSM;;
1;328;328;8;1324;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffix1by1ToE;TeacherDFSM;;
1;342;342;8;1363;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherDFSM;;
1;346;346;8;1378;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixToE_binarySearch;TeacherDFSM;;
1;246;247;9;1007;../data/tests/sequences/Moore_R10_PDS.fsm;DT;;TeacherDFSM;;
1;621;621;3;3009;../data/tests/sequences/Moore_R10_PDS.fsm;OP;AllGlobally;TeacherDFSM;;
1;504;504;5;2342;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneGlobally;TeacherDFSM;;
1;379;379;5;1586;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneLocally;TeacherDFSM;;
1;184;184;9;646;../data/tests/sequences/Moore_R10_PDS.fsm;TTT;;TeacherDFSM;;
1;262;262;5;1337;../data/tests/sequences/Moore_R10_PDS.fsm;Quotient;;TeacherDFSM;;
1;585;585;6;3360;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllPrefixesToS;TeacherRL;;
1;377;377;9;1495;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherRL;;
1;369;369;9;1469;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffix1by1ToE;TeacherRL;;
1;385;385;9;1513;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherRL;;
1;390;390;9;1532;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixToE_binarySearch;TeacherRL;;
1;246;247;9;1007;../data/tests/sequences/Moore_R10_PDS.fsm;DT;;TeacherRL;;
1;905;905;5;5016;../data/tests/sequences/Moore_R10_PDS.fsm;OP;AllGlobally;TeacherRL;;
1;504;504;5;2342;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneGlobally;TeacherRL;;
1;379;379;5;1586;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneLocally;TeacherRL;;
1;184;184;9;646;../data/tests/sequences/Moore_R10_PDS.fsm;TTT;;TeacherRL;;
1;262;838;5;1337;../data/tests/sequences/Moore_R10_PDS.fsm;Quotient;;TeacherRL;;
1;1515;520;6;7288;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllPrefixesToS;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1453;334;7;7938;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addAllSuffixesAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1447;328;7;7938;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffix1by1ToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1418;299;7;7938;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixAfterLastStateToE;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1424;305;7;7938;../data/tests/sequences/Moore_R10_PDS.fsm;L*;addSuffixToE_binarySearch;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1336;252;9;7726;../data/tests/sequences/Moore_R10_PDS.fsm;DT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1838;830;3;8395;../data/tests/sequences/Moore_R10_PDS.fsm;OP;AllGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1596;512;5;8336;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneGlobally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1472;388;5;8181;../data/tests/sequences/Moore_R10_PDS.fsm;OP;OneLocally;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1333;193;9;7735;../data/tests/sequences/Moore_R10_PDS.fsm;TTT;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
1;1346;262;5;8217;../data/tests/sequences/Moore_R10_PDS.fsm;Quotient;;TeacherBB:SPY_method (3 extra states);BlackBoxDFSM;
